global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14
1134.0484413881356	n/a	n/a	1286065.8674148598	1655.2623892759666	n/a	n/a	2739893.577351582	1093.7387516416352	n/a	n/a	1196264.4568426025	1257.975235546875	1041.8331231666243	n/a	n/a	n/a	n/a	-0.0737107833	0.0761614239	0.0038691019	-0.2288515304	0.0650873097	-0.0432890917	-0.0028850128	0.1332939978	0.1355416234	-0.1069408249	0.0577403849	-0.0521458036	-0.106867617	0.1057350868	0.0224079681	-0.0557354576	0.2116627949	0.0571168554	-0.1484249696	0.1888162295	-0.0290772612	0.0927047385	-0.0526415386	0.0796731175	-0.1109269471	0.1867091204	-0.2152762797	0.1158420618	-0.0668924547	-0.0727053701	0.0997502857	-0.1794815967	0.1384739902	-0.0437726393	0.1963337239	-0.0913585754	0.0300534641	0.0662507547	-0.1786755852	0.1249469173	-0.0563524075	0.1564205427	-0.1360983477	0.1517854702	-0.0759753851	0.1188391568	-0.0695413545	0.0146325118	-0.0205338626	0.0396117257	-0.1246876916	0.0868650409	-0.1362222313	0.1153710706	-0.087625588	0.1380728697	-0.1804552854	0.1747090205	-0.0212954578	0.0547433736	-0.0531450767	0.1156601065	-0.0987032019	0.0190173286	0.1682682472	-0.2218286789	0.153366806	0.1532882396	0.0585158475818587	n/a	0.0034241044182233	n/a	0.1920197936120189	n/a	n/a	0.0368716011388023	-0.4195286988762419	n/a	n/a	0.1760043291807924	0.0042522016075325	n/a	1.8081218511101976e-05	n/a	-0.0012588686435517	n/a	1.584750261717697e-06	n/a	0.0003011767360549	n/a	n/a	9.070742634068289e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1137.2170540868628	3.168612698727202	10.040106434535282	1293262.6281060027	1655.8712042392829	0.608814963316263	0.3706556595577826	2741909.4450288527	1098.0525694222283	4.313817780593126	18.60902384416141	1205719.4452147577	1257.5478268066406	1034.974771501584	1.086444	26.112198	0.0927187259769173	0.0462150165897812	-0.0860707465	0.0606099817	-0.0240876962	-0.1319979122	0.0451770731	-0.0221878765	-0.0079469236	0.0711990034	0.1181520128	0.1428846852	0.1212789341	-0.1124164514	-0.0608554944	0.2177283083	0.1255151291	-0.1113986469	0.0066644462	0.1437425008	0.0310827545	0.1166712025	0.1062767125	-0.1217030744	0.0510591073	0.1670579057	-0.0434708846	-0.0023361802	-0.0742875753	0.1507987527	-0.0791362489	-0.0890911279	0.0678026097	-0.231339948	0.0298501594	-0.0097912351	-0.0519788111	-0.0790781033	-0.0678661904	-0.1322633756	-0.185248927	-0.0307934455	0.0250900141	0.1879444206	-0.1452828297	0.1539532051	-0.0909390248	0.1549739548	-0.1426773193	-0.0946531657	-0.0093811322	-0.0012097664	-0.1594040447	-0.0170825347	0.0554180232	-0.0510955603	0.0593333448	0.0213695628	-0.0300075059	0.2115835756	-0.004421017	-0.007203727	-0.0547611303	0.0724964411	-0.1357123975	0.3022299887	-0.0659295006	-0.1338589928	0.1531573254	0.1524510324	0.0492332017210515	-0.0092826458608072	0.0024239081517057	8.616751417716108e-05	0.2250354784988815	0.0330156848868626	0.0010900354485486	0.0506409665832205	-0.4303058557596344	-0.0107771568833925	0.0001161471104892	0.1851631295010313	0.0044959093593632	0.0002437077518307	2.021320096760962e-05	5.939346830237418e-08	-0.0013448710599834	-8.600241643170006e-05	1.808678167980874e-06	7.396415632091552e-09	-0.0001619778625998	-0.0004631545986546	2.1451218225499618e-07	2.6236827972399683e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1140.9438679720051	3.726813885142292	13.889141734489383	1301752.9098629202	1656.7537185277697	0.8825142884868455	0.7788314693834433	2744832.8838555925	1099.9392013549805	1.8866319327521524	3.559380049680122	1209866.2466774322	1264.8115221679689	1038.6260740128032	1.29236	31.061287	0.2436160497510651	0.1541436762568266	-0.1302249875	0.0240896327	-0.1399219117	-0.1836930342	0.0732173458	-0.1972533507	-0.008358642	-0.003251144	0.2241653887	0.1051087741	0.1419546695	-0.0339363668	-0.1025932632	0.31828657	-0.1376321214	0.0341380777	-0.1515577697	0.0436622807	0.0937280834	0.1018112177	0.2051506401	-0.1391147948	-0.0151917377	0.0521352686	-0.0574708259	-0.1545000043	0.2149393254	-0.1774267339	-0.1685258149	-0.2467226902	0.053336305	-0.0874652678	0.0160572924	0.0657311672	-0.2111140258	0.0467002655	0.1501163762	0.0119819725	-0.0301149402	-0.1717680316	-0.1756231128	0.105801661	-0.2113017823	0.1177517653	0.0022772133	0.1250701468	-0.1665621072	-0.1775493904	0.222549127	0.0569187948	-0.1472389197	-0.1323015811	0.1484466213	-0.1538855468	0.0840699938	-0.3569052566	0.1317100193	-0.136640787	0.3974620812	-0.015154137	-0.0087317762	-0.2805870834	0.0431893532	-0.1054975877	-0.1633425028	0.1878027854	0.1527386503	0.1507811905	0.0585886529448487	0.0093554512237971	0.0034326302538919	8.752446760084846e-05	0.2679836695530468	0.0429481910541653	0.001844547114825	0.0718152471471165	-0.5722504791470371	-0.1419446233874026	0.0201482761085915	0.3274706108840135	0.0048723097129396	0.0003764003535763	2.3739401938805563e-05	1.4167722617243876e-07	-0.0009910261756	0.0003538448843834	9.82132880724362e-07	1.2520620220430181e-07	-0.000419088306354	-0.0002571104437542	6.610578028748165e-08	1.7563500852266417e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1137.51243962446	-3.4314283475450797	11.774700504335954	1293934.550300391	1652.505939424955	-4.247779102814775	18.043627306309894	2730775.879834753	1096.8213524653993	-3.1178488895811824	9.720981698262612	1203017.0792240277	1262.5607797851562	1044.359170519745	1.286682	30.924807	0.0643225025864711	0.0357566201557698	-0.2010057574	-0.1118916052	-0.0970194265	-0.0662455986	0.0137655714	-0.0355115658	-0.0565838619	0.1146510525	0.1697572727	-0.0331552803	0.1055459669	-0.1184516109	-0.1882270591	0.2017193936	-0.040219844	-0.1606884095	0.0088775671	-0.1425612887	-0.0539556386	-0.0726990485	0.0571170673	-0.1166028615	-0.1529028522	-0.056306693	0.076807491	0.0783365222	-0.2706266825	0.0927705916	-0.1767009225	-0.1294147079	0.1762424181	-0.1188782827	-0.0603076347	-0.1452701791	0.113511634	0.006090041	0.0440746683	0.0096156076	-0.1024083016	-0.0146823093	-0.1774918467	-0.0903394359	-0.2144298783	0.1412979877	-0.0198617413	0.0621196106	-0.0797138287	-0.0910017107	0.1209652341	-0.1519361898	0.0191720022	0.0182393745	-0.0540132947	6.16227e-05	-0.1000448112	0.0448082838	-0.0601519935	0.0613378564	0.0891787834	0.1489449107	-0.1604923109	0.0080775548	0.0993614665	0.0371190934	0.1623545284	0.0461506614	0.1521113526	0.148287834	0.0620511727024108	0.0034625197575621	0.0038503480337444	1.1989043071507908e-05	0.2626875511276125	-0.0052961184254343	2.804887037622485e-05	0.069004749517422	-0.5422138296654424	0.0300366494815946	0.0009022003120801	0.2939958370804654	0.0053418277661049	0.0004695180531653	2.853512388272927e-05	2.204472022481341e-07	-0.0009501242323053	4.0901943294699926e-05	9.027360568137356e-07	1.6729689652828483e-09	-0.0004189640043764	1.243019776000446e-07	1.5450981635281987e-14	1.755308369631081e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1131.2496186977826	-6.2628209266774775	39.222925959629336	1279725.6998038786	1644.9621411445814	-7.543798280373494	56.90889249496608	2705900.4457989656	1090.1123883477574	-6.708964117641926	45.01019953180691	1188345.0192292517	1257.5860408203123	1036.3011896936928	0.974938	23.432199	0.2332365444652487	0.1132952808993035	-0.1770291224	-0.1527685002	-0.1808186867	-0.0273087567	0.0092046071	0.0014950407	-0.0767549285	0.1098163461	0.0986092836	0.0421567167	0.1376745898	-0.1495160436	-0.1921277636	0.0206801783	0.0921672968	-0.1844986939	-0.0032290219	-0.0414178858	0.0281251475	0.0248704927	0.1333307619	-0.0485248442	0.1266170138	0.0048905565	-0.0408266223	0.1461929798	0.0483569923	-0.1206912824	-0.1527917565	-0.0681266888	0.0651496824	-0.1466535901	-0.0581033475	-0.1961687628	0.0054702061	-0.0288669561	-0.0007877715	0.1144372526	0.0981756923	-0.0544119785	-0.1882207307	-0.0725192242	-0.1786058771	0.1491521534	-0.0011556173	0.1039520865	-0.0158341549	-0.0095261419	0.1460000327	-0.086566385	0.0345082778	0.0331430961	0.0061475214	-0.0029586162	-0.1239796097	0.0671286776	0.03920757	0.0426575157	-0.0542303103	0.1223790592	-0.0706164306	0.0786868814	0.0419078142	0.0841225242	0.0348915274	-0.0061790708	0.151276289	0.1449845808	0.0473253296261049	-0.0147258430763058	0.0022396868242194	0.0002168504543079	0.2137095904322166	-0.0489779606953958	0.0023988406338797	0.0456717890427057	-0.4728105487354384	0.069403280930004	0.004816815403849	0.2235498149955063	0.0042260230959088	-0.0011158046701961	1.7859271207154597e-05	1.2450200620314288e-06	-0.0005244128890804	0.0004257113432248	2.75008878233652e-07	1.8123014775034858e-07	4.210917747345805e-05	0.0004610731818498	2.1258847902115225e-07	1.7731828274911867e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1129.1971828155615	-2.052435882221061	4.212493050628547	1275086.2776786007	1627.7669537666516	-17.19518737792987	295.6744689621187	2649625.2557747643	1088.4846891205889	-1.6276992271684776	2.6494047741248594	1184798.918449945	1248.8864420898435	1034.5415717936244	1.037883	24.945051	0.1466496337004756	0.082901800970244	-0.1636416537	0.0058204885	-0.1926254467	-0.0785446589	0.0507865861	-0.0134121794	-0.1504908526	0.0010948438	0.0688515594	0.1423339173	0.0393604841	0.0117354329	-0.2212126874	-0.0009339768	0.0456179477	-0.0983666084	-0.0248422654	-0.0784903047	0.1659839524	0.2764842799	0.1575776599	0.0730739508	-0.0061209606	-0.0926281439	0.0003875226	0.1515882073	0.2061179812	0.1318219518	-0.2040632674	0.0435386537	-0.0439568974	-0.1258221696	-0.0673911106	-0.0712138069	-0.1697225203	-0.0228859647	-0.035887967	0.0721173568	-0.0427206381	0.1154762508	-0.0141015161	0.1386661564	-0.2033161998	0.1199760255	0.0055840358	0.1000188957	0.0002535846	0.0583883267	0.1772554104	0.030971046	-0.066650091	-0.0607784241	-0.0607184684	-0.085323973	-0.1772534771	-0.010959394	-0.0884645269	-0.2462065199	-0.2885201333	0.0850910715	0.2913738555	0.1033535867	0.0723491153	-0.3127369626	0.1159309126	-0.1300352846	0.1502346003	0.1408894722	0.0550924437650479	0.0077671141389429	0.0030351773600049	6.0328062047368175e-05	0.1997056962008514	-0.0140038942313651	0.0001961090536432	0.0398823650950667	-0.5405298972743751	-0.0677193485389366	0.0045859101665379	0.2921725698474464	0.004669987743021	0.0004439646471122	2.1808785519966376e-05	1.971046078854607e-07	-0.0011226447359167	-0.0005982318468363	1.2603312030814772e-06	3.578813425691704e-07	-5.887986440265662e-05	-0.0001009890418761	1.0198786579055642e-08	3.46683843207523e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1104.3352080952768	-24.861974720284707	618.1177869920758	1219556.2518388384	1607.6505444648938	-20.11640930175781	404.6699231958482	2584540.273118269	1082.7201451268688	-5.7645439937200535	33.229967455533945	1172282.9126635478	1238.263507421875	992.389587464752	2.918538	70.145737	1.82104934267226	1.3794211246889652	-0.1619892785	0.3434791871	0.3436440887	0.6066872424	-0.1516277824	-0.1924062475	-0.1849378662	-0.2294334975	0.0237735203	0.0662033753	-0.5228822916	-0.4469191873	-0.2160510023	-0.1994009144	0.1234209129	0.6058092046	0.2824823513	0.2843522891	-0.0418812702	-0.0724096945	0.0457494217	-0.0449820182	-0.0050291701	-0.0669722331	0.2349120128	0.0918047335	-0.0152486692	0.1166889067	-0.1370133458	0.2954688383	-0.3495542034	-0.0342798628	-0.0634527648	0.4679850815	0.4199200228	0.3218841154	-0.2092535646	0.0522512464	-0.046675765	-0.0686504235	-0.1668842917	-0.004727987	-0.0536968907	-0.8374623537	-0.3173177951	0.2887617739	0.0619403748	-0.0147200833	0.0686705548	-0.1605090884	-0.0802652784	0.0588659364	-0.0114187573	0.0032251196	-0.0569640865	0.0267419547	0.0021433422	-0.0021461303	-0.0122274466	-0.0165693321	-0.019412578	0.0255802745	0.043224263	-0.0124155397	-0.0244929716	0.0465203195	0.1489877092	0.136024874	0.0229838850354155	-0.0321085587296324	0.0005282589713211	0.0010309595436942	0.0969910628075609	-0.1027146333932905	0.010550295913118	0.0094072662645402	-0.300199159023613	0.240330738250762	0.0577588637481563	0.0901195350784844	-0.0209815901719645	-0.0256515779149855	0.0004402271261442	0.0006580034495285	-1.0290627979747669e-05	0.0011123541079369	1.0589702421756558e-10	1.2373316614442133e-06	-0.0022128560874517	-0.002153976223049	4.6396135694606224e-06	4.896732063772046e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1112.6646130240483	8.32940492877151	69.37898646744311	1238022.5410759551	1583.5099783090443	-24.140566155849456	582.7669343249441	2507503.8514043097	1087.89445548222	5.174310355351281	26.7734876534955	1183514.346268956	1242.4999602539062	1020.2844567640184	3.144014	75.56493399999998	2.872978716719085	1.9582257662452471	-0.2706509174	0.1044913987	0.0574710416	0.0785400839	0.3618325546	0.3175176068	-0.5001950289	-0.3294411747	-0.3594678415	-0.2912191778	0.0906882033	0.1172292259	-0.0871539556	-0.0253268503	0.0024158696	0.2435407569	-0.5909393767	-0.0599758115	-0.0688766059	0.1922361632	-0.1324377942	0.2545392948	-0.0731804283	-0.0138506429	-0.0677083299	-0.0026473497	-0.0982851902	-0.013886637	-0.1245030638	0.5047548502	0.578116351	0.221996161	0.1708074345	0.1592441009	-0.1170201706	-0.1227290057	-0.0507802752	-0.106829052	-0.0935662068	-0.2258609657	0.1664882023	-0.0415024346	-0.2305759453	0.0389165142	-0.5738674486	-0.6107636694	0.2322389044	-0.0657289052	-0.0630564704	0.1475655635	0.193985762	-0.0379727278	-0.0749685565	-0.0855047894	0.1421287337	0.0577856647	-0.0043454126	-0.0385263179	0.0515757706	-0.0396677545	0.1025888323	0.0136920762	0.028581855	0.0394162649	-0.0088420887	0.0392223046	0.1475373187	0.1304173552	0.0825328373989009	0.0595489523634854	0.0068116692491134	0.0035460777275886	0.4306812167555733	0.3336901539480124	0.1113491188418482	0.1854863104660611	-0.8014254083998082	-0.5012262493761952	0.2512277530637278	0.6422826852287994	0.0137514968985354	0.0347330870704999	0.0001891036669504	0.0012063873374469	-0.0021527903379161	-0.0021424997099363	4.634506239024916e-06	4.5903050070773536e-06	0.0004818243527399	0.0026946804401916	7.261302674751194e-06	2.321547068932236e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1136.4938446913563	23.829231667308022	567.8322818542355	1291618.2590213409	1663.926735432943	80.4167571238986	6466.854826324097	2768652.180888531	1087.0347434734476	-0.8597120087724761	0.739104738027606	1181644.5335183842	1243.2023846191407	1021.2483069453016	3.008555	72.30924199999998	1.9122851588975656	1.1204741130452494	0.1388878344	-0.099300417	0.080258495	0.1716093278	0.1751861621	0.0102348305	0.32150692	-0.6718232397	0.0275932064	0.151563434	0.2451717306	0.1045724262	0.1444439821	-0.1997397273	0.0761708933	0.1550147109	0.0227541918	-0.2042594231	-0.2324499531	-0.0615397237	0.204467094	0.2147006688	0.0708597098	-0.0739751781	-0.0166919478	-0.0705018597	0.0168662856	-0.0079263583	0.2364039801	0.2119569886	-0.0263571891	0.0097102563	0.2799030887	-0.0728032182	-0.2040966163	0.4202329501	-0.0391738474	0.3501024183	0.0047601734	0.1505089921	0.0945572821	-0.0688680183	0.1291550456	0.0805813299	-0.0089412111	-0.0317746219	-0.031550566	0.050190806	-0.2001735093	-0.2663040341	0.0271890919	-0.006003121	0.1015024745	0.0639988671	0.0330936208	-0.0196748642	0.1559747967	0.1168947318	-0.1016952061	-0.4473590441	0.0260990791	-0.1153930174	0.2232924491	-0.1850278976	0.2973360181	-0.0870499209	0.1458854101	0.124097542	0.0198776048232787	-0.0626552325756222	0.0003951191735104	0.0039256781691053	0.0077067142712792	-0.4229745024842941	0.1789074297518361	5.93934448591385e-05	-0.0841740517174116	0.7172513566823966	0.5144495086627385	0.0070852709825254	0.0012000428520386	-0.0125514540464968	1.440102846728937e-06	0.0001575389986813	-0.0009049441094204	0.0012478462284957	8.189238411746809e-07	1.5571202099709429e-06	9.304328462735272e-05	-0.0003887810681125	1.511507189227331e-07	8.657052814246571e-09	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1139.1421374503382	2.6482927589818246	7.013454537275565	1297644.8093149252	1653.2547831217448	-10.671952311198083	113.89056613248611	2733251.3779149274	1100.9557208357187	13.92097736227106	193.7936107208633	1212103.499240897	1263.1571717285156	1049.3160845048587	1.555323	37.381474	0.1761301483458862	0.1217974728174578	0.156627742	0.0974537037	0.0482514566	-0.0897128629	-0.0008227845	0.0150745175	0.0712686586	0.1088077023	0.0444851595	-0.1401541067	-0.2382216423	0.1494004032	0.2198113038	0.1576681873	-0.0555076259	0.0550951825	-0.0054216309	-0.0388492019	0.0419257327	-0.1110852069	-0.0873653843	0.0336519776	0.076004943	-0.0836875117	-0.1093982724	-0.0861724942	0.0179769339	0.1696786962	0.149116628	-0.1662183445	0.0487491467	0.1038660847	0.0501541587	0.1853164217	0.0289434199	-0.057831052	0.1146013438	-0.0622158557	0.2872031097	0.0306654833	0.0233075229	-0.0275799718	0.1392950899	0.0540759056	-0.0136476551	-0.0027208103	-0.048906971	0.1584600816	-0.0866388011	0.0350545967	-0.0402791642	-0.1156670179	0.1029785374	-0.0055263807	-0.0440255373	0.1422979169	0.1330184935	-0.0474837229	-0.0216734857	-0.0448475482	-0.0698173836	-0.1466285654	0.0581935434	-0.0011379084	-0.0147463433	0.0135208431	0.1440342395	0.1170999511	0.014055749811348	-0.0058218550119306	0.0001975641027592	3.3893995779942595e-05	0.0296838199992492	0.02197710572797	0.0004829931761783	0.0008811291697478	0.0288462364390866	0.1130202881564982	0.0127735855349778	0.0008321053566996	0.0007380679517348	-0.0004619749003037	5.447443013780031e-07	2.134208085107059e-07	-0.0007479340859204	0.0001570100234999	5.594053968815844e-07	2.4652147479470546e-08	0.0001802763498133	8.72330651859473e-05	7.609607661735729e-09	3.2499562302007314e-08	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
