global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
13383.206637541089	n/a	n/a	179110219.90312386	21171.156315730168	n/a	n/a	448217859.74508137	13572.685397385818	n/a	n/a	184217788.89641023	15640.893269068203	13476.950150215096	n/a	n/a	n/a	n/a	-0.0375745807	0.2191814151	-0.033830843	0.1145525132	-0.0219928946	0.0468007825	-0.0360390185	0.1671397193	-0.1321946648	0.0150849761	-0.0136704595	0.0328548873	-0.076209262	0.0915876383	-0.0062038454	-0.1348751236	0.0022002728	-0.0874840702	0.2324875314	-0.0075528756	0.113547962	-0.1287727249	0.0171149554	-0.0714664059	0.0444588824	-0.1746426127	0.041199408	-0.1095557571	0.0641442402	-0.0007256716	0.0618151425	-0.050657143	0.1761101796	-0.0857859077	0.0188148135	-0.0022575429	0.1098394902	-0.1560840374	0.0037070994	-0.0319048571	0.0091843745	0.0368988122	-0.1444885505	0.0458115718	-0.1514563957	-0.0964567067	0.0726893384	-0.0388183912	0.1344223218	-0.0380669457	0.1302137489	-0.0061156057	0.0109379061	-0.1416071769	0.135673965	-0.1246366856	-0.0405012267	0.0412943531	-0.1167342907	0.1953686702	-0.0087742854	0.1899202418	-0.0986832345	0.0216387622	-0.0912265409	0.0110354938	-0.2696081327	0.0448444281	-0.016195135	0.153366806	0.1532882396	0.0561933101009373	n/a	0.0031576881001001	n/a	0.125572491177536	n/a	0.0157684505405323	n/a	-0.1125210799945932	n/a	n/a	0.0126609934431496	0.0034103239424481	n/a	1.1630309392434753e-05	n/a	0.001183161716783	n/a	n/a	1.399871648060896e-06	-0.001375023415451	n/a	1.8906893930385327e-06	n/a	0.0	0.0	0.0	0.0
13372.086175328928	-11.12046221216042	123.6646798120878	178812688.68042305	21240.738302377555	69.58198664738666	4841.652865797095	451168963.6300889	13575.014674729568	2.329277343749709	5.4255329441057	184281023.4191231	15690.541059942516	13541.620562729846	0.8804119999999999	21.769794	0.0530484397006526	0.0331852040469912	-0.0503604475	0.1263894938	0.1220132472	0.1199998586	-0.0059276535	0.0459471187	-0.006653233	0.0425201293	-0.1458063849	0.0589368013	-0.1239841479	0.0183126928	0.0885344657	0.0803544097	0.01645688	-0.1364091587	0.0006081486	0.0083382547	0.1156436797	-0.0160057552	0.0391045132	-0.0860215477	-0.0202252463	-0.0829679506	-0.0248345154	-0.0610630604	-0.007824366	0.069393203	0.0484664457	0.0600428142	-0.0645487117	-0.0420846505	0.0384924068	-0.0907438752	-0.0055712574	-0.0309551005	-0.0726437874	-0.1290572735	-0.0094907901	0.0568015979	0.0384523536	0.0295150587	-0.1268318495	0.0772249401	0.1181712772	-0.0969509228	0.0784386647	-0.0553833384	0.1268941474	-0.0316242319	0.0983643386	0.0274718388	-0.0254517785	-0.0634715482	0.0714039501	-0.1862021693	0.0877655635	-0.072675752	0.0533236698	0.163349247	-0.1008416255	0.1490283613	-0.1240357705	0.0254551949	0.0211072685	-0.0659854191	-0.1081626766	0.0248341621	-0.1032832643	0.1531573254	0.1524510324	0.0560857373621388	-0.0001075727387985	0.0031456099354548	1.1571894132610688e-08	0.139058156695313	0.0134856655177769	0.0193371709434982	0.0001818631744573	-0.1120965066866261	0.000424573307967	1.802624938381207e-07	0.0125656268113448	0.003124105133549	-0.0002862188088991	9.760032885467214e-06	8.192120656761954e-08	0.0011785930525218	-4.568664261200015e-06	2.087269313156628e-11	1.3890815834526544e-06	-0.0018648485050129	-0.0004898250895619	3.4776599466488484e-06	2.399286183643235e-07	0.0	0.0	0.0	0.0
13332.253795878723	-39.832379450204826	1586.6184526650998	177748991.27772263	21297.95250760592	57.21420522836706	3273.465279913705	453602781.0162374	13571.010090895432	-4.004583834135701	16.036691684620994	184172314.88718563	15680.71409082536	13524.89062771585	0.918688	22.716251	0.0565351341513564	0.0387355746907245	-0.0932945113	-0.0468506154	0.0542132725	0.0492942277	0.0169445025	0.1139266342	-0.0258493452	-0.0380084299	-0.1339784241	0.0824485436	-0.1527199783	-0.0290673161	0.2657653099	-0.0383886436	-0.0005623208	-0.1633240799	-0.0490474506	0.0091847859	0.268145019	-0.1380304034	-0.1185294883	-0.1474021086	-0.0358893373	0.2658745284	-0.1251311407	0.2287826448	-0.0246541053	-0.0567646531	0.0585228229	0.0899510281	0.0689478959	-0.0515625164	0.0547606655	-0.1201609467	-0.0255148839	0.0147714532	-0.1425189856	-0.1021934408	0.2016310645	0.0998239767	-0.0105444602	-0.0855640376	-0.0049776737	-0.2247630034	-0.0089464966	-0.0991425638	0.0788693206	-0.0498766572	0.1236319634	-0.025640484	0.1334609552	0.0571334973	0.0306434499	-0.0002666222	0.1514124231	-0.0343512137	0.1347930551	-0.0196435733	0.0108112348	0.1179627366	-0.158779066	0.2888949186	-0.020567399	0.0712722241	0.0319375738	-0.1012373227	-0.1576448174	0.1845723647	0.0100321032	0.1527386503	0.1507811905	0.0561555686396673	6.983127752849955e-05	0.0031534478892443	4.876407321262326e-09	0.1425120239959909	0.0034538673006778	0.0203096769834338	1.1929199330692034e-05	-0.1124158013011111	-0.000319294614485	1.0194905083912624e-07	0.0126373123821708	0.0024837783971036	-0.0006403267364454	6.169155125918528e-06	4.1001832940681673e-07	0.000879825624265	-0.0002987674282567	8.92619761871821e-08	7.74093129113297e-07	-0.0017500998505418	0.0001147486544711	3.0628494868664303e-06	1.3167253702927936e-08	0.0	0.0	0.0	0.0
13312.487250361364	-19.76654551735919	390.7163216898328	177222316.79103386	21151.70387033316	-146.2486372727617	21388.663904139823	447394576.6182668	13551.79341796875	-19.216672926680985	369.280518371034	183651104.84330115	15677.23692112807	13381.51434011705	0.904124	22.356121	0.2310152165803656	0.1238383664373111	-0.094866724	-0.0290384449	-0.1112997127	-0.0109444874	0.0596095062	0.1844526575	-0.0254001825	0.0369342845	-0.1507215088	0.0877188649	-0.0333352701	-0.1988644495	0.1408458493	0.0501416268	0.0781094603	-0.1482203501	-0.004106592	0.0465987593	0.2086564078	0.0156255601	-0.0363545791	-0.126898039	-0.07055597	0.1984125561	-0.0422723167	0.0758291715	0.0989014274	-0.0742637637	-0.0009996516	-0.0219965188	-0.2398953155	-0.046148178	0.0500372165	-0.0964909814	-0.0525309569	0.1242066252	-0.03954541	-0.1246323775	0.2042263145	0.0244793632	-0.0881722677	-0.214100979	-0.0832909947	-0.0834474565	0.0016687754	-0.0945615568	0.0489841417	-0.0418251728	0.0936863549	-0.012881316	0.2049376377	0.120798387	0.0725742184	-0.012216167	0.1557117886	0.0372103399	0.0624911231	0.0683210768	-0.1600776922	-0.2042905087	-0.053521202	0.1344711177	-0.0198221793	0.0804223856	0.063414723	0.0062601566	0.0559645568	-0.022302067	0.1775261196	0.1521113526	0.148287834	0.0560047337727382	-0.0001508348669291	0.0031365302049552	2.275115708151943e-08	0.0981390395518531	-0.0443729844441377	0.0096312710841601	0.0019689617484796	-0.0132021552499423	0.0992136460511688	0.0098433475627666	0.0001742969032435	0.0024089889285984	-7.478946850519993e-05	5.803227658109667e-06	5.593464599290292e-09	0.0018587328644037	0.0009789072401387	9.582593847959664e-07	3.4548878612143837e-06	-0.0010582415348231	0.0006918583157186	1.1198751460247504e-06	4.786679290291163e-07	0.0	0.0	0.0	0.0
13362.536273455538	50.04902309417412	2504.9047126811743	178557375.65941504	21181.404036301832	29.70016596867208	882.0998585666672	448651876.94906354	13559.406969651442	7.613551682690741	57.96616922500301	183857517.36863208	15648.366555541676	13408.321276501694	0.947743	23.434687	0.060620844620177	0.028977589676773	-0.0651515116	0.1222915239	0.0239529522	0.0038080422	0.1637133605	0.0579463359	-0.1014793576	0.0133275164	-0.1641203087	0.014366765	-0.077345536	0.0902756366	-0.0333481441	-0.010292502	0.0570636933	-0.1400537072	-0.0525596712	-0.0057216027	0.0236160118	-0.0643731176	0.1252156195	-0.0698527387	-0.0924397218	-0.1754616017	0.0704737315	0.0621015632	0.1086566914	-0.0810275816	0.0042653168	-0.0025560188	-0.0232654622	-0.0967697168	0.0628019323	-0.1230681628	0.1108183878	-0.081326551	0.0496241954	-0.1256651382	0.0822303167	-0.082253819	-0.0467898162	-0.0184822481	-0.1022624538	-0.0355957342	-0.04761259	-0.0875833356	0.0421536607	-0.0668431071	0.0480951806	-0.0840343632	0.07183113	0.2224223609	0.0589126053	-0.047505128	-0.0311345482	-0.0263569192	-0.0307458703	0.0731061416	-0.0387671494	-0.0017286099	0.0657583263	-0.080011747	0.0504835786	-0.0154649344	-0.0912793526	-0.0311792004	0.0533705237	-0.1350465081	-0.0148850002	0.151276289	0.1449845808	0.0560535813716853	4.884759894709795e-05	0.0031420039845921	2.386087922896524e-09	0.0883387084688251	-0.0098003310830279	0.00780372741394	9.60464893369647e-05	-0.0003154877366853	0.012886667513257	0.0001660661995972	9.953251199881317e-08	0.0022291174239829	-0.0001798715046154	4.968964489904161e-06	3.2353758172643786e-08	0.0016079572993494	-0.0002507755650542	6.288838402830345e-08	2.585526676531016e-06	-0.0013852944336522	-0.000327052898829	1.919040667907769e-06	1.0696359863251745e-07	0.0	0.0	0.0	0.0
13363.03921195675	0.5029385012112471	0.2529471360006156	178570816.98029366	21094.45114487868	-86.95289142315232	7560.805326846516	444975869.1036735	13572.368348106971	12.961378455529484	167.99733146746388	184209182.57669595	15660.082085030332	13473.052687312178	0.8826469999999998	21.825077	0.0537612630815085	0.0279918889710761	-0.103925906	-0.0471907547	0.1607599975	0.0423691446	0.1141606652	-0.002422657	-0.1290596492	-0.0462366765	-0.0951162392	-0.0713532471	-0.1335061361	0.0740074501	-0.0304803122	0.1759583876	0.0572534551	-0.1743712409	-0.0989594606	0.0773889612	-0.0851298678	-0.1157647076	-0.074375732	-0.0323677984	0.0100763182	-0.1224820086	0.09065355	0.2338319673	0.0740126769	0.073983706	-0.0708882336	0.0342127928	-0.0404862751	-0.0992970094	-0.0315987205	-0.1621674995	0.1356035416	-0.0996878814	-0.0728119154	0.0089553337	0.1588311031	0.0362006687	-0.0566497496	-0.0811196229	0.0331393071	0.0063019075	0.0587873974	-0.0934527295	0.0580622259	-0.074583394	0.0376182609	-0.06069208	0.0298269581	0.2282726916	0.0538596699	0.0094943215	-0.013443024	0.001764658	0.1452871143	-0.0064937433	0.0751610464	0.0050084898	0.019565545	-0.1246395186	-0.0050569179	-0.0427344334	0.0554137829	-0.0321277498	0.1932708072	-0.0915057239	-0.1442240572	0.1502346003	0.1408894722	0.0559325144305233	-0.0001210669411619	0.0031284461705206	1.4657204242322822e-08	0.1079154653299667	0.0195767568611415	0.0116457476573832	0.0003832494092002	-0.0132870301539753	-0.01297154241729	0.0001682609126835	0.0001765451703126	0.0021120355080915	-0.0001170819158914	4.460693987439319e-06	1.3708175028800926e-08	0.001723241386496	0.0001152840871466	1.3290420749224877e-08	2.9695608761326567e-06	-0.0011958224994519	0.0001894719342002	1.4299914501953893e-06	3.5899613849602775e-08	0.0	0.0	0.0	0.0
13342.130787934331	-20.90842402241833	437.1621951012399	178012453.96234518	21045.21366647573	-49.23747840294891	2424.3292794808604	442901018.26761687	13604.611349158651	32.24300105168004	1039.61111681864	185085449.9616564	15697.520169043726	13333.45455160744	0.885329	21.891376	0.0426734660585653	0.0231545163802766	-0.1089861606	-0.1288590916	-0.0732244629	0.0024804235	0.0282883789	0.1356573775	-0.0927624516	-0.0725627674	-0.0496832025	-0.0184923507	-0.000514682	-0.0775863414	0.0147660159	0.174120926	0.0768323016	-0.0932718986	-0.0519595817	0.1198800811	-0.005527704	-0.1150048488	-0.0753059412	-0.1278482647	0.0818181933	0.0209167168	-0.0349355702	0.0691913549	0.2050427943	-0.1657397966	-0.1404176792	-0.1319441751	0.106720881	-0.0768488927	-0.0634402301	-0.0906084083	0.0789701787	0.042919016	-0.0421003206	0.0725625589	0.2495499742	-0.0050065965	-0.0841476721	-0.1158327906	-0.0628151475	0.0044573323	-0.1569930409	-0.085747763	0.0472302069	-0.0710748859	-0.0086366891	-0.0557198973	-0.0076122301	0.2339002657	0.1054890961	0.0310568047	0.0762424251	0.1817592805	0.0380223208	0.0371333082	-0.063944557	-0.1115687027	0.0474130651	-0.0592488351	0.0654272228	-0.0977861901	-0.03323115	-0.001504374	0.1074085109	-0.1240933161	0.0318523916	0.1489877092	0.136024874	0.0562555400006203	0.000323025570097	0.0031646857807613	1.0434551893649312e-07	0.1054088584715202	-0.0025066068584464	0.0111110274442689	6.283077942810977e-06	-0.0032015362613435	0.0100854938926318	0.0001017171870583	1.0249834432697314e-05	0.0022292566915377	0.0001172211834462	4.9695853967656125e-06	1.3740805848527748e-08	0.0016077670067278	-0.0001154743797682	1.3334332382850508e-08	2.584914747922469e-06	-0.0015582937309853	-0.0003624712315333	2.4282793520280865e-06	1.313853936893396e-07	0.0	0.0	0.0	0.0
13378.73525559219	36.60446765785855	1339.8870525152126	178990557.03922543	21192.313892071063	147.10022559533172	21638.476370197484	449114168.10006815	13590.918517127404	-13.692832031247235	187.49364903595028	184713066.13919652	15727.113451422954	13606.008950798518	0.96325	23.818134	0.0953257090570939	0.0669449694182902	-0.0696362646	0.0471491202	0.1134873577	0.0237604669	0.1342537198	0.1279435531	-0.146666319	-0.0415757722	0.0095677293	-0.154950453	-0.0787650373	0.0350881513	-0.0655577427	0.0937634462	0.0165695093	-0.0924984319	-0.0321847386	-0.0262369768	-0.163081264	-0.0487386212	0.1405529014	-0.0094343652	-0.0790213417	0.0738622301	-0.0521692127	-0.1946062757	0.1110799376	-0.0586203395	0.0966656871	0.0023220285	0.0353445364	-0.0478561392	-0.1040611258	-0.1258753321	0.0828608121	-0.0947811949	0.0460321994	0.0728162143	-0.0553791152	-0.0638276206	-0.0332747221	-0.1292326427	-0.1418304181	0.2173845702	-0.0331210416	-0.079872466	0.0468590384	-0.0542213981	-0.0164526748	-0.0385819392	-0.0937921675	0.1544647256	0.0149157351	0.0108920157	-0.0474697299	0.0206327074	-0.0200719182	-0.0118727085	0.0429488422	0.1616533186	0.0860450527	-0.1073738457	0.105718229	-0.0301390091	-0.1004338754	-0.0636097049	0.0941166898	-0.0011769787	-0.0234781162	0.1475373187	0.1304173552	0.0560839170257736	-0.0001716229748466	0.0031454057489538	2.94544454952309e-08	0.0990414924028328	-0.0063673660686874	0.0098092172173803	4.054335065267166e-05	-0.0645264556532083	-0.0613249193918648	0.0037607457384187	0.0041636634791654	0.0024790194127521	0.0002497627212144	6.145537248801768e-06	6.238141690842209e-08	0.0016079423814685	1.753747407001044e-07	3.0756299675628856e-14	2.585478702122591e-06	-0.0012589958145065	0.0002992979164788	1.5850704609448852e-06	8.957924280855073e-08	0.0	0.0	0.0	0.0
13378.511268567876	-0.2239870243138284	0.0501701870609635	178984563.76319763	21175.053327120266	-17.260564950796834	297.9271024206761	448382883.40638703	13620.62201547476	29.7034983473568	882.2978140714281	185521344.0884357	15744.761157605077	13506.92875871502	0.938535	23.207008	0.0830818321764028	0.0429080847432703	-0.0867847975	-0.1634480681	-0.0423184079	0.0088647799	-0.0687794282	0.0741132835	-0.1137200646	-0.080982182	0.1242483459	-0.0138006442	0.0002549043	-0.0195924533	0.1213058809	0.1005084405	0.0442144108	-0.0162589966	-0.0864813681	0.1401911372	-0.0637925115	0.0722496839	-0.1206065617	0.0096950242	0.0614269069	0.1432552495	0.0224072729	-0.0863991753	-0.0930548018	-0.054195685	-0.0062331087	-0.0369225578	0.0756515631	-0.0468091728	-0.1261648259	-0.0162342907	0.0530630239	0.1185067045	-0.0365292919	0.1806742444	0.0822254308	0.0504760674	0.003521018	0.0197511918	0.0252947037	0.0752518135	-0.0103877242	-0.0704521176	0.0271247292	-0.0237052953	-0.0866241006	0.0041542191	-0.1416408048	0.0924721891	0.0969668968	0.0258347986	0.0027613848	0.1884912838	-0.062152541	-0.0370067857	0.0083108704	-0.0334384699	-0.0121140815	-0.1819890487	0.0420572841	-0.131026512	0.0271655578	-0.0355910786	-0.0347735241	-0.0036649462	0.1131158782	0.1458854101	0.124097542	0.0560741973690568	-9.719656716804248e-06	0.0031443156105839	9.447172669251792e-11	0.0696947442045257	-0.0293467481983071	0.0048573573697342	0.0008612316298148	-0.0472340017512493	0.017292453901959	0.0002990289619513	0.002231050921437	0.0027438879243265	0.0002648685115743	7.528920941264788e-06	7.015532842363792e-08	0.0017438293566864	0.0001358869752178	1.8465270033870145e-08	3.0409408252413037e-06	-0.0015868985361026	-0.0003279027215961	2.518246963884575e-06	1.075201948301295e-07	0.0	0.0	0.0	0.0
13408.12182668454	29.610558116664837	876.7851519803856	179777730.9192144	21249.3434577355	74.29013061523438	5519.023506828584	451534597.3848065	13613.655093149038	-6.966922325722408	48.53800669264932	185331604.99522275	15711.54524550327	13622.13093277442	0.936213	23.149574	0.1772480461738929	0.0793414592376205	-0.0426064628	0.0743134002	0.042095015	0.0314403579	0.0266652863	0.0623544985	-0.0819302775	0.0643376323	0.0652076494	-0.0947468335	-0.019448905	0.1393905364	-0.1071827189	-0.0587598427	0.0435810631	0.0186190366	0.0173901277	0.0024665903	-0.2178021636	0.0791377087	0.2206104118	0.0058986231	0.0275515829	0.0576270748	-0.032484806	-0.1282073729	-0.1265778268	-0.1438701728	0.0913774712	-0.063541945	0.2133490195	-0.0542668177	0.0004739126	0.0123040095	0.0921420678	-0.0648944842	0.0974168987	0.1646366654	-0.1142374153	-0.1023478939	0.0818244666	-0.0288851281	-0.1095807049	0.1085511092	-0.0394009203	-0.0548842953	0.0290119381	-0.0185332279	-0.0810730159	0.0107938673	-0.1272556912	-0.0025903182	0.0314844908	0.0050542835	-0.0638274857	0.0489360813	-0.1242050782	-0.0387563369	0.0731486368	0.1729590182	0.0278768688	-0.1684348328	0.081899388	0.0027763193	-0.086152657	-0.0306137691	0.154516091	0.1590064311	0.0548900794	0.1440342395	0.1170999511	0.039298958987203	-0.0167752383818537	0.0015444081774778	0.000281408622768	0.0588834409889642	-0.0108113032155615	0.0034672596227008	0.0001168842772188	-0.1068698506249319	-0.0596358488736826	0.0035564344708847	0.0114211649725952	0.0018247477561432	-0.0009191401681832	3.3297043735496432e-06	8.448186487680248e-07	0.0011428101391808	-0.0006010192175055	3.612240998110435e-07	1.3060150142144396e-06	-0.0013065448077356	0.000280353728367	1.707059334620856e-06	7.859821300927766e-08	0.0	0.0	0.0	0.0
