global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
13428.209846470416	n/a	n/a	180316819.68084505	21259.514109892003	n/a	n/a	451966940.1886972	13692.450153115356	n/a	n/a	187483191.19554877	15740.59762006376	14551.19425861652	n/a	n/a	n/a	n/a	-0.1406393354	-0.0644758228	-0.0277027867	0.0330872013	-0.0921805161	-0.1303521356	-0.252006027	0.0728530704	-0.2048726742	0.0754148788	-0.0571721958	0.1197469533	-0.0080593352	-0.0842901496	0.2793964571	-0.0973630934	0.1894964391	-0.1145006417	0.1610298405	-0.0572869162	0.0959582865	-0.1363502516	0.3448665612	-0.0382061382	0.0286366893	-0.0106767071	0.032272223	-0.0566321053	0.0994629755	-0.1062064781	0.1572255557	0.0062033463	-0.0316177504	-0.195514211	-0.2526640276	0.0775265964	-0.0009735334	0.2564007841	-0.1492623555	0.0569976092	-0.0647126456	-0.100891849	0.0096639553	-0.1241730642	0.1436242344	-0.0791278419	0.0184846041	-0.0526207501	0.0028307047	-0.2900267701	0.0161349727	-0.4004896787	0.0404366014	-0.0281924234	0.1129255722	-0.10505438	0.0264132962	-0.1167103738	0.1715124592	-0.0090824493	0.1247005128	-0.1858920208	0.0613055573	-0.0499158005	0.2499515522	-0.0606616496	0.0669244995	-0.0530793538	0.1997796245	-0.1257813132	0.0346107043	-0.0188219009	0.0857758454	0.0026516374	-0.0333144725	0.153366806	0.1532882396	0.0037867128741453	n/a	1.4339194391217756e-05	n/a	0.1895270108680762	n/a	0.0359204878485878	n/a	0.2772229131084174	n/a	n/a	0.0768525435523171	0.0040372672208661	n/a	1.6299526612679886e-05	n/a	-0.0006869221889562	n/a	n/a	4.718620936803774e-07	-0.0007036160735903	n/a	4.950755790146304e-07	n/a
13461.34474007727	33.13489360685344	1097.921174337497	181207802.211206	21358.72306554458	99.20895565257524	9842.41688167464	456195050.990626	13742.679862316743	50.22970920138687	2523.0236864558888	188861249.79812613	15772.635379548594	14776.41245856652	1.075998	21.554773	0.0853518946606777	0.0471529653077039	-0.0477508529	0.1427687737	0.0651867907	0.1398848993	-0.1218872652	-0.2781974021	-0.2213163684	-0.0538947627	-0.083893805	0.001455399	-0.016042568	0.1829512073	-0.0611729835	-0.1487192375	0.2635529249	-0.070993938	-0.0444285797	0.0863502327	0.2354485271	0.1322039851	-0.13039307	0.0849561224	0.0763883039	-0.1115262313	0.0390984369	-0.2210935676	-0.1136881341	0.0252698496	0.1554831495	-0.0340820145	0.0455553206	0.0170661285	0.1713615366	-0.2501456441	-0.2212902893	0.0556804359	0.0706215681	0.0078398453	-0.0823711472	0.0095428109	0.1336069345	-0.0792223453	0.1063494928	-0.0573807324	-0.0648786403	-0.1438311753	0.1511070699	0.1523975312	-0.2189943936	-0.0441724574	-0.0613587462	-0.3607440646	0.042514871	0.0312262948	0.0509128996	-0.0720746063	-0.1230244825	0.046804841	0.2214903569	0.0198442401	0.1613656239	-0.2342041693	0.1495639204	0.1237090732	0.0403975929	-0.0313599838	-0.1319938701	-0.0828384648	0.0949917283	-0.0455514761	-0.1099766501	0.0366836559	0.0160120556	0.0986076154	-0.0024403548	0.1531573254	0.1524510324	0.0034275457677637	-0.0003591671063815	1.1748069990114853e-05	1.2900101030653142e-07	0.1794160686656454	-0.0101109422024307	0.0321901256954355	0.0001022311522208	0.232700375929582	-0.0445225371788353	0.0019822563168407	0.0541494649577687	0.0037048574846028	-0.0003324097362633	1.3725968981217384e-05	1.1049623276263693e-07	-0.0006908031686583	-3.880979702099987e-06	1.5062003448112105e-11	4.772090178283477e-07	-0.0004327218260951	0.0002708942474952	1.8724817877907798e-07	7.338369332599066e-08
13464.119284725077	2.774544647807488	7.698098002677179	181282508.1133057	21323.102570178464	-35.62049536611448	1268.8196901273834	454674703.2183514	13723.314340096931	-19.365522219812192	375.0234508460397	188329356.4771101	15750.971753147116	14701.481526594896	1.078657	21.608046	0.070603380204007	0.0419533586510444	0.1013165803	0.0540472873	-0.0625073439	0.0016508024	-0.1025573364	-0.1936672631	-0.1690547352	-0.0687458425	-0.0629228401	0.1706746517	-0.1143800936	-0.0206223444	0.0702848751	0.0037156866	0.3608737388	-0.0453499135	-0.0808246553	-0.0242726588	-0.011861367	0.0382788242	0.1506811089	0.101528793	-0.1441133401	-0.1070841151	-0.0570174135	0.0868735614	-0.019738528	-0.0522437543	0.1229910134	0.1707345923	-0.0081437694	0.0891738129	-0.2263100845	-0.2230174195	-0.2548768484	-0.1177923979	-0.0410602482	0.0074303158	-0.0009944415	0.028051176	-0.0777319046	-0.0365308164	-0.1050368356	-0.036682697	-0.0461169633	0.1359755178	-0.0346200814	-0.1278372778	-0.0319665994	-0.0453982805	0.053459097	-0.306896571	0.0669686236	0.0284232682	0.0218031547	0.1058543198	-0.0558355624	-0.0225235154	0.0659197323	0.0429438122	0.0234679875	-0.1430522143	-0.0419719106	0.0812089177	-0.0654732498	0.056178819	0.1161755643	-0.1102300851	-0.1478150478	-0.0122677107	0.0347039263	-0.0233037649	-0.0781660876	-0.089840658	0.1427256229	0.1527386503	0.1507811905	0.0070776002908843	0.0036500545231206	5.009242587752553e-05	1.3322898021753151e-05	0.1374949155144378	-0.0419211531512076	0.0189048517923223	0.001757383081527	0.2391091200766908	0.0064087441471087	4.107200154310119e-05	0.0571731713038493	0.0034378467009257	-0.0002670107836771	1.181878993906572e-05	7.129475859985911e-08	-0.0007747090407304	-8.390587207209998e-05	7.0401953681796075e-09	6.001740977894165e-07	-0.0004111699141929	2.155191190219999e-05	1.6906069833739678e-07	4.6448490664018957e-10
13486.092094734277	21.972810009199748	482.8043797003886	181874679.9876544	21426.62407130821	103.52150112974778	10716.70119615637	459100219.0931645	13758.33979251061	35.02545241367807	1226.782316782827	189291913.8461809	15804.34737437008	14808.97198016827	1.04788	20.991516	0.1010797714691952	0.0502792529981282	0.0210176725	-0.1149123291	-0.0388368363	-0.0109551225	-0.072162057	-0.1474983373	-0.039178969	-0.0240637169	-0.1567511817	0.2333019553	0.0169360243	0.0390933641	0.1599728484	-0.0304417657	0.1452853678	-0.0791639834	0.0864456449	-0.2057836575	-0.0011284086	-0.1606319644	-0.2099925291	0.0014236819	-0.230170604	-0.0872158251	0.0137861278	-0.0188835433	0.0116519668	0.0878831905	-0.0081827144	-0.1177125368	-0.0994704014	0.063292195	0.0975766387	-0.1298200051	-0.1191076343	-0.0900610732	-0.1480715438	0.2038069305	0.1025666218	-0.0795563775	0.2103319874	0.0846248089	0.000514986	-0.0783816846	-0.1802865246	-0.120656805	-0.0559965706	-0.1687406209	-0.0751653571	0.2015219187	0.003504372	-0.2616696043	0.016340374	0.0705075946	0.112189671	0.1048967397	0.144653279	0.0358732763	0.0221680735	0.0090315574	-0.1220857404	0.0493345069	-0.1678806956	0.0186190708	-0.1520782361	0.0790479156	-0.1339119393	-0.0338640196	-0.1038151718	0.0547380785	0.0406603199	0.0053282407	-0.1104374583	0.009004795	-0.050333131	0.1521113526	0.148287834	0.005455168084282	-0.0016224322066023	2.975885882776894e-05	2.632286265020409e-06	0.1114903452455564	-0.0260045702688813	0.0124300970829733	0.0006762376748691	0.1958062598188092	-0.0433028602578816	0.0018751377065136	0.038340091384231	0.002919877644759	-0.0005179690561666	8.525685460363365e-06	2.6829194314622185e-07	-0.000773978862901	7.3017782939997e-07	5.331596625472516e-13	5.99043280217525e-07	-0.0003268709734724	8.429894072049999e-05	1.0684463329879445e-07	7.106311406598372e-09
13510.1506149359	24.05852020162274	578.8123942918895	182524169.63825285	21280.199343213848	-146.42472809436367	21440.20099750833	452846884.0869191	13771.896389431424	13.556596920814629	183.78132007344064	189665130.1612343	15794.98980371218	14704.03941800044	1.099781	22.031219	0.1076412360908951	0.0552713302112666	-0.1874160689	0.0059992274	-0.0734774463	0.0667422464	-0.1668713749	-0.1229837074	-0.1053991306	0.1692730162	-0.1502646776	-0.0262768402	-0.0384896712	0.0491063873	0.2043499234	-0.1829489387	0.0729995982	-0.1522443448	0.0735101427	-0.1444672566	-0.0671724512	-0.0020741487	-0.0007254639	0.1073277973	-0.2078827283	-0.0402407375	0.1245787603	-0.006183049	-0.0847506263	0.1402397996	-0.0172562052	0.1287350181	-0.150540844	-0.1343151105	-0.025524809	-0.1978867976	-0.0598801291	0.1461029552	-0.0735103916	0.156801869	0.0670488769	-0.1597658055	0.0474090599	0.1356811837	-0.0314413794	-0.0025002943	-0.1152764232	-0.0376033875	0.0719709307	0.0458443532	0.0375925342	0.2011899534	0.1340364569	-0.2236328182	-0.0493889623	0.0917876496	0.0830655362	-0.057749119	0.0440000378	-0.0850044732	-0.2091654885	-0.0454632828	-0.2041901289	0.1768643886	-0.0423081007	-0.050693062	-0.2427289492	0.0795760865	0.0428161075	0.2414288089	0.0824149196	0.0789743581	0.1453781312	0.1154898767	0.0002052883	0.0536142915	-0.1131196663	0.151276289	0.1449845808	0.005347150821052	-0.0001080172632299	2.859202190307708e-05	1.1667729155699026e-08	0.067543341997748	-0.0439470032478084	0.0045621030482247	0.0019313390944628	0.2057626639541894	0.0099564041353802	9.912998330701613e-05	0.0423382738775246	0.0022080192607564	-0.0007118583840026	4.875349055871238e-06	5.067423588747935e-07	-0.0007729652252326	1.013637668400083e-06	1.0274613227995569e-12	5.97475239418884e-07	3.285323374613053e-05	0.0003597242072185	1.0793349675778901e-09	1.294015052590003e-07
13500.458999368642	-9.691615567257031	93.92741230349884	182262393.19363376	21403.081856521905	122.88251330805724	15100.112076904865	458091912.9569772	13764.694275655864	-7.202113775560065	51.870442836112055	189466808.5022733	15833.803800704218	14770.738295628476	1.183344	23.705175	0.1361309673328763	0.0720716038799296	0.0269349691	0.2125629064	-0.0809714889	-0.0657178548	-0.1187669586	-0.045317175	-0.2248639729	0.0202307143	0.1512614498	0.0186039257	-0.055801671	-0.0417377787	0.1443624725	-0.1176691033	0.1191121978	-0.0608560942	-0.1411736092	0.0319208009	0.0073631077	-0.1361848986	0.1044118102	0.0010426095	-0.0343662839	-0.0007609298	-0.0349764317	-0.0616151161	0.1244341014	-0.119537128	-0.1069461074	-0.0032770675	-0.1736393842	-0.0790628181	-0.0475804812	-0.0774255577	-0.1285937666	0.1181085364	-0.0767034418	-0.1034756139	0.0363082672	0.2545537137	0.0440176734	0.0229777838	-0.0919292388	-0.1330794924	-0.0631766613	0.0163261804	-0.0207256902	0.1375892193	0.0226710354	0.0576267517	-0.0191415816	-0.1907076515	-0.0055019187	0.0977784784	0.0141732246	0.0603091093	-0.0758870554	-0.0561617127	-0.2000744331	0.0613543206	-0.0818057089	0.1508438101	-0.0760730041	-0.2107721803	-0.0123100823	-0.0889672702	-0.1384086905	-0.031259911	-0.0107138249	0.0400401523	-0.1302511236	-0.0604753845	0.0327420401	-0.0500297228	-0.0685441304	0.1502346003	0.1408894722	0.003166121650068	-0.002181029170984	1.0024326303029314e-05	4.756888244683154e-06	0.1251918989661931	0.057648556968445	0.0156730115667615	0.003323356120544	0.1664335106518137	-0.0393291533023757	0.0015467822994817	0.0277001134678873	0.0025038939454026	0.0002958746846462	6.269484889823798e-06	8.754182901448841e-08	-0.000679897968584	9.30672566486e-05	8.661514260096381e-09	4.622612476846498e-07	-0.0003176493827805	-0.0003505026165266	1.009011303808326e-07	1.228520841920142e-07
13501.815235781529	1.3562364128865738	1.8393772076394408	182299014.66118225	21406.050675934435	2.968819412530138	8.813888704215794	458219005.5406731	13767.594770266684	2.900494610819805	8.412868987394734	189546665.75827453	15825.555703199549	14759.649057975184	1.116984	22.375835	0.0940550457258128	0.0546827975028404	0.105852088	-0.0102685595	0.0018083154	-0.1209126998	-0.1483776658	-0.0123817778	-0.1820605023	0.0111483458	-0.0264083493	0.1733057182	-0.0238531138	-0.1187292481	-0.0543244901	0.0917980694	0.1419053931	-0.0312265263	-0.0812307231	-0.0447796138	0.0301347784	-0.1072456667	-0.0116521814	0.0943957646	0.0645080585	0.0272131708	-0.1836318155	-0.0634655954	-0.0681925287	0.0630647881	-0.0591391201	-0.1629389837	0.0268130263	0.077736524	0.0583211327	0.0004841564	-0.1681555761	-0.030987194	-0.1176556371	0.0314200937	-0.1270766217	0.1278989521	-0.0403379218	-0.0133801106	-0.1629067463	0.0935028174	0.0044723228	-0.0237931682	0.0523370446	-0.0143114203	0.0618630886	0.0966473752	-0.1010513711	-0.1386720116	0.0527805693	-0.0639877088	0.02136123	0.1691084016	-0.0612412352	-0.0865269889	-0.1956785722	-0.0224444796	0.0143492567	0.2115504838	0.051111007	-0.0933472564	0.0289796572	-0.070605697	0.1529531626	0.2510729412	-0.2550438002	0.1036403164	-0.0696573988	-0.0322153749	0.0146859639	-0.1368775854	0.101588181	0.1489877092	0.136024874	0.0030489002743649	-0.000117221375703	9.295792883022362e-06	1.3740850921727314e-08	0.0734526909365058	-0.0517392080296872	0.0053952978058138	0.0026769456475392	0.1648084063313462	-0.0016251043204675	2.640964052402141e-06	0.0271618107974781	0.0021489683527056	-0.0003549255926969	4.618064980930221e-06	1.2597217635131664e-07	-0.0002697920079073	0.0004101059606766	1.6818689898255898e-07	7.278772753065263e-08	-0.0002712106961551	4.6438686625399975e-05	7.355524170893399e-08	2.1565516154921024e-09
13497.975880230148	-3.839355551381232	14.74065104992188	182195352.86327484	21418.303135292204	12.252459357769112	150.12276031378389	458743709.1952679	13752.69987431279	-14.894895953893863	221.85792547732385	189136753.83292305	15859.596375754163	14775.861121984628	1.484521	29.73847	0.3529486118638117	0.2391873970827135	0.0121412468	0.0316940052	-0.0654579634	0.0414065985	0.0559041354	0.0339618635	0.0859278737	-0.0906621433	0.1522521437	-0.1191771321	0.0359081018	0.408846574	-0.2118414306	0.0172416818	-0.0362371951	0.0745160978	0.0894576244	0.1106038443	0.1628111052	-0.3222939477	-0.1129819715	-0.0592441774	0.0141200966	0.2619382055	0.1690681597	0.2511575496	0.2210423888	-0.0749313483	-0.016049932	0.0407179278	0.0680151597	-0.1497087322	0.0107181948	0.0831820478	0.1449202905	-0.0104152708	0.1174697014	-0.0503517497	-0.0826896228	0.266912111	0.5821641373	-0.3421009821	-0.0336218275	0.2196066845	0.1201225119	0.0650640033	-0.0452815084	-0.2133356124	0.0755687524	-0.0227477214	-0.0217674011	0.1139690326	-0.0491858137	0.0834878466	0.1181154995	-0.1093735636	-0.1791579898	0.4694180199	0.0401090929	-0.560032673	0.0751292748	0.1799915631	-0.3059923181	0.0785674393	0.2382011035	-0.057842049	0.127647589	-0.0780830874	-0.093674203	0.0144408625	-0.1136076357	0.1078450042	-0.0581844294	0.0100263506	0.0208653123	0.1475373187	0.1304173552	-0.0014203043723597	-0.0044692046467246	2.017264510144081e-06	1.997379017430476e-05	0.0523307457094261	-0.0211219452270797	0.0027385069465046	0.0004461365701757	-0.0761633977528362	-0.2409718040841824	0.0580674103635855	0.0058008631572567	0.0007219421608239	-0.0014270261918817	5.212004835750819e-07	2.0364037523163877e-06	-0.0005210801866997	-0.0002512881787924	6.31457488008012e-08	2.715245609709942e-07	-0.0002218119087127	4.93987874424e-05	4.9200522846771166e-08	2.4402402007794162e-09
13531.799177528868	33.82329729872072	1144.0154401576483	183109588.98097092	21364.12756826364	-54.17556702856382	2934.9920628664117	456425946.7530425	13784.930230034724	32.23035572193476	1038.7958299624524	190024301.4469252	15847.23894021226	14825.355947494509	1.279198	25.625362	0.0843578617876814	0.0413230315029593	0.0833722472	-0.0031556352	0.0910829546	-0.1435322876	0.0220391153	0.1628940747	0.0122768572	-0.032698394	0.1417620114	0.0764053482	0.0051209144	-0.1013352957	0.0373698183	0.1305377879	-0.1134730938	0.0002996628	-0.0688287602	0.0198433263	0.1168818536	0.0062895051	-0.0817946536	0.2172167268	0.0694656712	0.1020672371	0.0537626858	-0.1412174939	0.2963142134	0.3226628333	0.0552879821	0.0485363967	0.0612509412	0.1076232541	0.0429322924	0.1332462376	0.0387171618	-0.0264576978	-0.0739963723	-0.0953384559	-0.0507396253	-0.081270095	-0.0817251961	0.0354996979	-0.0945553106	0.2059693348	-0.2388192866	0.0085526141	0.1526137322	0.0977988905	0.0882156027	-0.1369074657	0.0892017873	0.1608872982	0.0379285127	0.0232456523	0.0421873984	0.1695477411	-0.0203795207	0.2935994901	0.0026616478	0.1083715009	-0.1025580161	0.0026937729	0.1790488554	-0.006798912	0.067443338	-0.1274654411	0.0003327725	-0.0433067175	0.1183935455	0.0376519773	-0.1472831527	-0.1805859376	0.0880054268	0.0853117806	-0.0436162247	0.1458854101	0.124097542	0.009585387112537	0.0110056914848966	9.18796460971904e-05	0.0001211252450607	0.0586994182084055	0.0063686724989793	0.0034456216980052	4.0559989399256496e-05	-0.0620239815403209	0.0141394162125153	0.0001999230908307	0.003846974286114	0.0004190086437949	-0.000302933517029	1.755682435748414e-07	9.176871573955945e-08	-0.0001289706763201	0.0003921095103796	1.5374986813012965e-07	1.6633435350464002e-08	0.0001400266957045	0.0003618386044172	1.960747550992064e-08	1.3092717564658696e-07
13497.412121168703	-34.387056360164934	1182.4696451171596	182180133.96867183	21360.41881366805	-3.708754595591017	13.75486065031749	456267491.895304	13805.980660144194	21.050430109469744	443.1206077936704	190605101.98827556	15858.902082836355	14698.417536662177	1.133257	22.701817	0.1695244427105326	0.1525180378816337	-0.1115001575	-0.1462501111	0.0158147431	-0.0847596432	0.06598455	0.1014660987	0.1009971039	-0.0011875134	-0.1233764233	-0.0072108742	-0.0173543059	-0.1139695889	0.0565064118	0.0240226832	-0.1675496664	-0.0415262894	0.0095194755	-0.0861971761	-0.1735122533	-0.0475279058	-0.219283762	-0.0131053697	-0.2038446295	-0.0837299688	-0.0953755723	-0.0178860584	0.1225530982	-0.2523016064	-0.059110066	0.0395300589	-0.1535325136	0.1503403428	0.0337268391	0.1064223346	0.0571744381	0.0160467892	-0.0543182878	0.0762924798	0.1851912132	-0.0897793033	-0.0296144571	0.3058416283	-0.0512131487	0.1488921637	-0.0868383664	0.0478216825	-0.0781223954	-0.0357249862	-0.0382001891	0.1114253384	-0.0823699111	0.0936285599	0.0545647468	0.0408080031	-0.0599489751	-0.0259353597	0.2352164409	0.1771707855	-0.1497162279	0.1692492686	-0.0955440385	0.019818504	-0.0662718949	0.0748161113	-0.129446719	0.0750081129	-0.1465509334	-0.1335138215	-0.0814679092	-0.0550397977	0.0517032509	0.0535098227	0.0072837954	0.1696943309	0.0678503491	0.1440342395	0.1170999511	0.0050437246920296	-0.0045416624205074	2.543915876898908e-05	2.0626697541849133e-05	0.051733604553263	-0.0069658136551424	0.0026763658400733	4.852255987816968e-05	0.0898912410058869	0.1519152225462078	0.0230782348412638	0.0080804352095784	0.0004190173705522	8.726757300028375e-09	1.755755568244797e-07	7.615629297359854e-17	-0.0002509706878752	-0.000122000011555	1.4884002819444532e-08	6.298628617255105e-08	0.0001400528391656	2.614346110001728e-08	1.9614797758345423e-08	6.834805582881168e-16
