global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
1166.8271200491713	n/a	n/a	1361485.5280822432	1984.8479239940643	n/a	n/a	3939621.281383547	1117.1650684012875	n/a	n/a	1248057.7900560533	1359.837697853101	1258.92529271677	n/a	n/a	n/a	n/a	-0.1083156404	0.0698170499	-0.0225057701	0.1043837665	-0.1602208862	0.0996318468	0.0311459389	-0.0453742944	0.1340563152	-0.2328523862	0.049919683	-0.0671244649	0.0440775725	-0.0219672473	0.0030875398	-0.0417132269	-0.1711406712	0.162945966	-0.0060145887	0.0151587906	-0.070450295	0.2117627031	-0.0414511933	0.0769984821	-0.162862417	0.0780438593	-0.030138362	0.2547596023	-0.09017681	0.1541481736	-0.1572309081	0.1239640631	-0.0881390666	-0.0113562644	-0.0483611652	0.0589848348	0.0997889751	-0.0975810687	-0.1966323151	0.0384286216	0.013902108	0.0124471748	-0.1592845479	-0.0114613036	0.0035174754	-0.0556912344	0.2622070535	0.0459451043	-0.197523559	0.1471466876	-0.0516545961	0.0005264442	-0.1334568143	0.1309243834	-0.2158754901	0.0844964254	-0.1017256933	0.1598892965	-0.0241421005	0.0143669333	-0.0989297258	0.1250670517	0.0138314798	-0.0819992275	-0.0587215169	-0.1243965772	0.0189943508	-0.3156111773	0.0642061976	-0.0203785135	0.0994559297	-0.0612595729	0.0285224708	-0.242511487	0.0688727909	-0.1192275652	0.1172798488	0.230872434	-0.1942184258	0.1359087539	-0.1654660185	0.1092499031	-0.1224999268	0.0820765755	-0.0409720801	0.1091695931	-0.1954973268	0.1382901914	-0.0202943497	-0.1758848041	0.0436651651	0.153366806	0.1532882396	-0.0499219847923484	n/a	0.0024922045656074	n/a	-0.0266851403430905	n/a	n/a	0.0007120967151304	0.013515691449939	n/a	0.0001826739153699	n/a	-0.0030447735580693	n/a	n/a	9.270646019917986e-06	0.0007639479359573	n/a	n/a	5.83616448853419e-07	0.0006921650691248	n/a	n/a	4.790924829165391e-07
1167.360311564846	0.5331915156746163	0.2842931923873946	1362730.097016774	1983.669112443924	-1.1788115501403809	1.3895966707443677	3934943.147664065	1116.385863079022	-0.7792053222653976	0.6071609342467221	1246317.395282693	1358.5075954608062	1238.9639605950872	1.188165	21.262449	0.0564874756315965	0.0246659881724819	-0.1308237716	-0.0512804033	0.0474622693	0.1266975738	-0.1773988117	-0.0505322366	-0.0675351165	0.0115028611	-0.0003984416	-0.0503211066	-0.1742886421	-0.0174541747	0.0755029783	-0.0978809638	0.0627048182	-0.0366690262	-0.1388590506	0.1493783098	-0.1025829646	0.0051832518	-0.0156276282	0.1112658448	0.1914956	0.011804202	0.0535407443	0.1144641906	0.123066472	-0.1305775897	-0.1262473854	-0.0414560976	0.1664969082	0.0670296586	0.1851086942	0.0364185748	0.0139987832	-0.0292678609	0.1391817764	-0.0466083848	-0.0292391285	-0.1052637952	0.2519741747	0.2063029622	-0.1264810443	0.144193051	-0.0508043428	-0.0489454473	0.2180789974	0.0927144831	0.0876728437	0.1690392987	-0.1574873575	0.0867867094	-0.0383827395	-0.1105885052	0.0134094318	0.088687505	-0.1079314898	0.028038564	0.0370864437	0.2328285236	0.1426126839	-0.1651272228	-0.1034401711	0.0598028996	-0.1052650748	0.1058436901	0.0611638423	-0.2695683718	-0.0134775976	-0.0837613665	0.0556167616	-0.0747346478	0.1122059275	-0.2621510286	0.0245778926	0.057788863	0.0700455868	-0.1325164113	-0.1277447924	0.1286020703	0.0243287468	0.1075866764	0.0117941976	-0.2548247985	0.0745935941	0.0245254664	-0.1239745981	-0.065304515	0.0364831784	0.1131951245	-0.1276867716	0.1531573254	0.1524510324	-0.0349585080574286	0.0149634767349197	0.0012220972856013	0.0002239056359964	-0.0143535384747224	0.0123316018683681	0.0001520684046399	0.0002060240667453	0.0209904489706076	0.0074747575206685	0.0004405989479876	5.587199999279178e-05	-0.0028196959050007	0.0002250776530686	5.065994991086917e-08	7.950684996677715e-06	0.0005650398722059	-0.0001989080637514	3.9564417825331023e-08	3.192700571824598e-07	0.000681797995792	-1.036707333279996e-05	1.0747620948765208e-10	4.648485070659881e-07
1166.9202287983312	-0.4400827665147062	0.1936728413832374	1361702.8203787496	1983.3970806598663	-0.2720317840576172	0.07400129153757	3933863.979570081	1116.0789483197257	-0.3069147592964327	0.0941966694739872	1245632.2188824648	1359.544889383648	1243.5985618171342	1.228407	21.982588	0.066491847445418	0.038835548913711	0.046760452	-0.149922189	-0.078091494	-0.1276120948	0.0334960843	-0.1148665085	-0.0293362961	-0.0282230758	0.0114067698	0.1108106559	0.1671183386	-0.1531080447	-0.0142279294	0.0187071695	0.2125834055	0.0338082603	-0.1223933554	0.0292205152	-0.0693004747	-0.0104380966	-0.2592031187	0.121774951	0.070930342	-0.0330604821	-0.0852023247	-0.0095179518	0.1256137637	-0.1310580251	0.2086436599	0.0224657354	-0.0647891097	0.1536131788	0.0606481208	-0.0689056381	-0.1207185027	0.0959749399	0.0772864072	-0.2768115084	0.213133266	-0.0245044075	0.0645706505	0.0081899565	0.0409032833	0.1246815569	-0.0063490477	0.1225727762	-0.0042339082	0.0254419819	-0.1711603663	-0.0608502417	-0.2456507973	0.1353609859	0.1832530169	-0.0335408897	-0.1141069079	0.1025139334	0.0343438918	0.185988348	0.0842257717	-0.1121638722	0.0262352804	-0.2128034014	-0.1563332473	0.0696581699	0.0649627398	-0.0263379711	-0.0196266924	-0.2014781986	-0.124346144	-0.0806437644	-0.1551205117	0.1275581646	-0.0873326976	-0.1737125063	0.0701791523	-0.01235839	-0.0592473612	-0.1385816269	-0.1402366263	0.0336022024	0.1268722218	0.1067559783	0.1301904224	0.0600031658	-0.2503375289	-0.0783479039	0.0489044419	0.1787319608	0.1635403756	0.0754816221	0.1239378876	0.1527386503	0.1507811905	-0.0326231607006803	0.0023353473567483	0.0010642706141024	5.4538472766713e-06	0.0063995027800558	0.0207530412547782	0.0004306887213225	4.095363583194191e-05	0.0265586336576291	0.0055681846870214	0.0007053610217601	3.100468070878071e-05	-0.0033851413260431	-0.0005654454210424	3.197285241778171e-07	1.1459181797284835e-05	0.0004018952698561	-0.0001631446023497	2.6616161275874363e-08	1.615198079327075e-07	0.0006536825362468	-2.811545954519996e-05	7.904790654377754e-10	4.2730085819404906e-07
1165.0022369039857	-1.917991894345505	3.678692906775059	1357230.2119912903	1979.6928248405457	-3.704255819320679	13.721511174971113	3919183.68072514	1115.188952990356	-0.8899953293696399	0.7920916862997738	1243646.4008717265	1358.4950542797892	1253.6060806606888	1.308579	23.417282	0.1014649054625836	0.0717319825553077	0.1713576985	-0.0527573869	-0.0202438175	0.0613854797	0.1503377184	-0.0671377699	0.1443298691	-0.1302822499	0.1013460347	0.0335492474	0.1188570049	-0.003264859	0.1615649443	0.2057478513	-0.0671659903	0.0983376054	-0.1310241014	-0.0260091019	-0.0149654193	-0.0967286257	-0.1477195974	0.0260171737	-0.1543448475	-0.1597953336	-0.0376298025	-0.1244499646	0.0581489412	0.0250836691	-0.0033416426	0.061667215	0.0498549946	0.0353987703	0.130401153	-0.098213869	0.1747379398	0.1639270184	-0.1201779767	-0.0186212771	-0.171918099	0.2557164628	-0.0439831807	0.1337014934	0.1473861106	0.0177189827	-0.0232951195	-0.0648396355	0.0744507708	-0.1698593947	-0.1462961843	-0.1154203536	-0.1474187218	0.0809423564	-0.0746716397	-0.1013248292	-0.18792864	-0.2618332754	0.0422929889	-0.1720707399	0.0238250469	-0.1387994252	-0.0087350656	-0.0235357697	0.0124201925	0.1242412106	-0.0614754912	-0.0784319894	-0.0554009496	-0.136847734	-0.188396049	0.0688833321	-0.0928978223	0.0353709229	-0.1368868425	-0.0787512817	-0.0287454412	0.0782324747	0.0273366849	0.0911621106	0.0135606449	-0.0140284398	-0.0452242081	-0.0250298764	0.1711024126	-0.0605228232	-0.0926594185	0.0365594972	0.0607429259	-0.2799410589	0.1078172928	0.0243933469	0.0413255877	0.1521113526	0.148287834	-0.0352627012379684	-0.0026395405372881	0.0012434580985982	6.967174247987182e-06	0.0295657657624275	0.0231662629823717	0.0005366757405684	0.0008741345051187	0.0198082393406053	-0.0067503943170237	0.0003923663457747	4.556782343530721e-05	-0.0020956391573778	0.0012895021686653	1.6628158429925122e-06	4.391703477935135e-06	0.0004508576033799	4.896233352379999e-05	2.397310104095828e-09	2.032725785254672e-07	0.0006139728859179	-3.970965032890008e-05	1.5768563292435136e-09	3.769627046423546e-07
1166.1840614832763	1.1818245792906057	1.3967093362154166	1359985.26525763	1989.7085146903992	10.015689849853516	100.31404316845874	3958939.9734314745	1116.308313590774	1.1193606004180765	1.2529681537683168	1246144.250991878	1360.6514979120511	1262.9652287474466	1.232318	22.052582	0.0805569087142835	0.0552930043581643	0.0862336034	0.1349988722	0.1205920143	-0.0449690837	0.0545865084	0.0732546495	-0.0398525166	-0.0814266736	-0.2673478416	0.0471271632	-0.1049662923	-0.0603258782	-0.1065359372	0.1120672138	-0.0942538027	-0.0378574495	-0.1049647844	-0.057165904	0.2074122828	-0.1873721304	-0.1320401814	0.0371336624	0.0440829676	0.0027724316	0.0581477397	0.0446080138	0.0253645866	-0.0883681962	0.0972954932	-0.0463555724	-0.0723429134	-0.1545926101	-0.1984350618	-0.1743266202	0.0956466957	0.0307739637	-0.1166920362	-0.0211764333	-0.0773368457	-0.049052689	-0.0718081759	-0.1988474977	0.0413310517	-0.1599222755	-0.0630244009	-0.1645012175	-0.0583509932	0.1597608395	0.1179432733	-0.1079481623	0.0432864201	0.3122325237	0.0524373292	-0.0552323009	-0.0343665439	0.0147335309	0.060588278	0.0835765407	0.0116505627	0.0780713245	0.0536284309	0.1359632265	-0.1940140026	0.1713286007	0.1907912927	0.0091226962	-0.091402616	-0.1380372025	-0.0126597977	0.1873990638	0.0655811799	-0.0800731429	-0.0426542702	-0.1309546547	0.0560069169	0.1235404321	-0.0271649205	-0.0572084955	0.0019089194	0.0563096752	-0.0993179141	-0.140302907	-0.046533955	0.185478279	-0.1040818863	-0.003671815	0.1007854234	0.0506972767	-0.0981314815	-0.0086530049	0.191372515	0.151276289	0.1449845808	-0.0352154181611865	4.728307678190241e-05	0.0012401256762672	2.235689349963279e-09	-0.0217465179768225	-0.05131228373925	0.0026329504625373	0.0004729110441162	0.0028128776545486	-0.0169953616860566	7.912280699458833e-06	0.0002888423188398	-0.0020131430983441	8.249605903369985e-05	6.80559975609169e-09	4.052745134410483e-06	0.0005319642524159	8.110664903600003e-05	6.578288517848884e-09	2.829859658484074e-07	0.0005335359897437	-8.043689617419998e-05	6.470094266139027e-09	2.846606523517896e-07
1165.90552992548	-0.2785315577962137	0.0775798286883855	1359335.7047108146	1984.3543107509613	-5.354203939437866	28.66749982509197	3937662.030595923	1117.0034788729297	0.6951652821555854	0.4832547695144546	1247696.7718142276	1361.3304316076276	1243.990870022555	1.301878	23.297367	0.0736649581291762	0.0370110939191745	-0.0910060351	0.1318401035	-0.1323236771	-0.1392457344	-0.0885507587	0.1371000695	-0.1311874413	-0.0535862856	0.0036592085	-0.0502250642	0.1035263698	0.0151670865	0.2554238639	0.0710923445	0.0855519978	-0.0732821125	-0.1004944159	0.0653371046	0.1212925578	-0.1700586085	-0.0488658539	-0.1855116314	-0.0374019219	-0.0543505005	0.0042983162	0.0536222207	-0.0698249267	-0.0372736156	-0.0116964504	-0.1558086563	0.1108623498	-0.2081594693	-0.0673574775	-0.1087026559	-0.0916338164	-0.1451546568	0.0720493661	0.0481571613	0.1275004728	0.1021336685	0.0094952225	0.0385949361	-0.1182591506	-0.1100631257	-0.0634469369	0.0362932466	0.0495250289	0.03746271	0.0359803878	-0.2580100444	0.0123140832	0.0040588254	-0.0620037863	0.0898293387	0.0755298938	-0.1591171575	-0.0318516973	0.0506857425	0.2280876249	0.0380036427	-0.0754375668	0.2028022487	-0.0022677586	0.1092928578	-0.1159141952	0.0606711019	-0.1436961529	-0.1448331982	0.1324547254	0.0879893071	-0.0425691704	0.0501310156	-0.1505066535	0.0212332708	0.031874782	0.0220575544	-0.122692252	-0.0095555145	0.008914801	-0.1045356303	0.0864799002	0.0724626145	0.0943195239	0.1028178071	0.0748864868	0.020569537	-0.0639469649	-0.0187976539	0.2332755745	0.1663461525	-0.2135133074	0.1502346003	0.1408894722	-0.0350950527515863	0.0001203654096001	0.0012316627276366	1.44878318282235e-08	0.0054641338076493	0.0272106517844718	0.0007404195705357	2.985675826789604e-05	0.0256114057186778	0.0227985280641292	0.0006559441028867	0.0005197728818908	-0.0017470925357231	0.000266050562621	7.078290187095066e-08	3.052332328379372e-06	0.0003400454185988	-0.0001919188338171	3.683283877371565e-08	1.1563088671003313e-07	0.0005207971287623	-1.2738860981399984e-05	1.6227857910343498e-10	2.712296493270557e-07
1164.8628065446435	-1.0427233808366054	1.0872720489433203	1356905.3580710634	1988.508540391922	4.154229640960693	17.25762390983641	3954166.215211612	1117.3483884099214	0.3449095369917359	0.1189625887078536	1248467.421082249	1360.5733407749665	1248.103177481835	1.130114	20.223619	0.0802792668043623	0.0338543402280702	-0.1236840359	0.047593457	-0.040360185	0.1066201243	-0.0289015554	0.0082870702	0.1245151194	0.1656735534	0.1445556888	0.0020448784	-0.1333070641	0.1748680188	0.138243289	0.063615755	0.0604296445	0.1278858843	-0.1040669091	0.15471214	0.080813115	-0.1191041212	0.0515361425	0.0070478795	-0.0794312804	0.0639250969	-0.0163873025	-0.0892895712	0.1130958537	-0.0937042092	-0.1172953015	0.0923150295	-0.0344954262	0.0512875526	0.0285134874	0.0275392344	-0.013473474	-0.0757969519	-0.196485748	-0.0211479705	-0.0336981319	0.0158282799	-0.0688366238	-0.2463281889	-0.0963592771	-0.0120707415	0.0748158345	-0.0129920999	0.1897740811	-0.2564468442	0.0371385211	-0.0174147939	-0.0099285204	0.048619399	0.0826228107	-0.1561074841	0.0096395441	0.0211233478	0.0696157062	0.1425920701	-0.0486637873	0.0787476417	0.0276098847	-0.0701685255	0.1012015186	0.0273388641	-0.0376273492	-0.0539866279	0.1704419023	-0.154619478	0.1194284228	-0.0480336126	-0.0177168027	0.0265609902	-0.1130511483	0.0462614261	0.0367141509	0.0994769155	0.1664825028	0.008977666	0.0628742194	-0.0308167715	0.1186646016	-0.092034423	-0.1377080448	0.1466917047	0.0667703795	0.0835219426	0.1148735997	0.1142362987	-0.1824380802	-0.0703947191	0.0447889005	0.1489877092	0.136024874	-0.0189923995257714	0.0161026532258149	0.0003607112397465	0.0002592954409108	-0.0139463747330097	-0.019410508540659	0.0003767678418069	0.0001945013681935	0.0073456115730294	-0.0182657941456484	5.395800938182346e-05	0.0003336392357712	-0.0020200529100562	-0.0002729603743331	7.450736595606617e-08	4.080613759426523e-06	0.0001758804002505	-0.0001641650183483	2.695015324929768e-08	3.093391519227608e-08	0.0006136779539257	9.28808251634e-05	8.626847683034078e-09	3.766006311344336e-07
1164.2086790687931	-0.6541274758503732	0.4278827546623806	1355381.8484191042	1985.5626366138456	-2.9459037780763992	8.678349069684803	3942458.983916926	1117.407687928032	0.0592995181104925	0.0035164328481366	1248599.94104067	1362.2009278355945	1250.405082079686	1.211965	21.688356	0.0611404191897225	0.0390180749671835	-0.0508471728	-0.1232635909	0.2140142989	-0.130499714	-0.0462426611	-0.1540334261	0.0723210867	0.0815520871	-0.1789419491	-0.1339223098	0.167910281	-0.12342459	0.0296053682	0.0972444543	-0.0337126945	-0.2953590011	-0.0650086519	0.1552882043	-0.0796882769	0.0442105739	0.0183940738	-0.1360527064	0.0735447041	0.1974421239	0.1409532256	-0.1043545235	-0.0751761395	0.050434281	0.0956622084	-0.1981188853	0.083287319	-0.0666008949	-0.1229558966	-0.1780437805	0.128591369	0.0301868226	0.0573247547	0.0782341024	0.0886499333	0.1067923686	-0.0026897498	-0.0148367535	-0.0079033178	0.1425301993	0.207957215	0.0222679986	0.0160598688	0.1244383541	-0.0307076869	-0.1521066279	0.0547437711	0.0774514744	-0.1299749813	0.00561481	0.1770719021	0.0672926477	0.127152901	-0.0854146106	0.088250472	-0.0613510528	0.1201166419	0.0626575141	0.0101536452	-0.0619296475	0.0394517728	0.143492325	-0.1058426353	-0.0871644136	-0.0625685494	-0.1144747181	-0.0750040268	-0.1610741861	0.0148310889	0.1808548365	0.1244549756	0.0974882872	-0.1824623209	-0.0528770508	-0.0016787577	-0.12737652	-0.0344118506	-0.2211352905	0.1013245327	-0.1810499161	0.1214899931	0.0421120714	-0.0785257871	0.0563274553	-0.1614551956	0.0498958807	0.0573632054	0.1475373187	0.1304173552	-0.0265624284379697	-0.0075700289121983	0.0007055626045222	5.7305337731518215e-05	0.0218093809694295	0.0357557557024392	0.0012784740658525	0.0004756490982697	0.0119828212583144	0.004637209685285	0.0001435880053087	2.1503713665301013e-05	-0.0021770479247536	-0.0001569950146974	2.464743463983685e-08	4.739537666673957e-06	0.0001759479126375	6.751238699998723e-08	4.557922398436043e-15	3.095766796149333e-08	0.0005071919832141	-0.0001064859707115	1.133926195839173e-08	2.572437078366519e-07
1165.7030903770913	1.4944113082981405	2.2332651583693592	1358863.694914701	1987.0858809947968	1.523244380951155	2.320273444099268	3948510.298448868	1117.4732486577504	0.065560729718527	0.0042982092812257	1248746.4614657066	1359.7648093759717	1242.8551418759407	1.234769	22.096441	0.0559823573920675	0.0310236765590676	0.0842561691	-0.1321798144	-0.1338174752	-0.0459578983	-0.012506004	-0.0498139742	-0.1866559873	-0.1645044658	0.0206219818	-0.0417019302	0.0562918516	0.0364824142	-0.0128763607	-0.0808646599	0.0794883367	-0.0220378031	-0.1396803162	-0.0537266146	0.029126124	-0.0069879579	-0.0623496472	-0.1356725819	-0.031227501	0.0422855431	-0.0851808602	-0.0517434567	0.1397510063	0.124003018	0.0269240931	-0.1329752003	0.001061166	-0.0249597388	0.1751502716	-0.103806626	-0.1024524022	-0.0235434581	0.0959919252	0.0274298058	0.0808268367	-0.1888198753	-0.0913242734	-0.0297234663	0.0694534558	0.0649956618	-0.1911263418	-0.0488636055	0.1100067821	0.1097140452	-0.0507983139	-0.0731881243	0.0984852257	0.0064278459	0.0123688481	-0.1351147034	-0.0075366192	-0.0673030835	-0.0147702907	-0.0764126219	0.0892587214	0.0301808285	-0.0419903299	0.1341157661	-0.0878836669	-0.1492628714	-0.0041643619	-0.050491669	0.277496433	-0.0939916354	-0.1532703657	-0.0176721939	0.0836592893	-0.0144008522	-0.0922610271	0.126167501	-0.1794270497	0.0207460847	-0.1234019246	0.0773207953	0.0461178013	0.0819966244	-0.0250277714	-0.0988727343	0.0628648325	-0.0542828579	0.091931605	-0.0378962198	0.0378538085	0.0009009247	-0.1721906174	0.0980052002	-0.1073591174	0.1458854101	0.124097542	-0.0189866235243982	0.0075758049135715	0.0003604918728572	5.73928200884941e-05	-0.0028296160450622	-0.0246389970144917	0.0006070801738801	8.006726962473447e-06	-0.0016562213900499	-0.0136390426483643	2.743069292858823e-06	0.0001860234843639	-0.0020810555831801	9.59923415735e-05	9.214529640763494e-09	4.330792340285067e-06	0.0001758616108369	-8.630180059999927e-08	7.448000786802035e-15	3.0927306166149266e-08	0.0006136835961528	0.0001064916129387	1.1340463626285902e-08	3.76607556187033e-07
1165.205133793547	-0.4979565835442372	0.2479607590950489	1357703.003818838	1986.32909154892	-0.7567894458768478	0.5727302653905864	3945503.259933557	1115.7633453500118	-1.709903307738614	2.923769321815453	1244927.8428266498	1359.3921317484842	1252.503127369312	1.163702	20.824677	0.0356477458977212	0.0202481215753389	0.1814258156	0.0329651994	-0.0150466068	0.1099746066	0.1676832585	-0.0177793613	-0.0856943792	0.0666786673	0.1221541517	0.1299084514	-0.1155851742	-0.0178427704	0.3213417841	-0.1674481967	-0.0084953365	-0.0388961591	-0.2033974251	-0.1096026696	-0.0156347792	0.0244259268	0.0425704829	-0.1932141874	-0.2168903824	0.1538931267	0.0468355779	-0.1619585832	-0.0803196156	0.0658151475	-0.0695084638	0.1201731394	-0.0372804106	-0.049472771	0.0241986329	0.151441306	-0.0434371714	-0.0047328267	-0.0362429712	-0.0668963339	0.0081296509	-0.3280675323	0.0290409253	0.047021482	0.1632787572	-0.0286961767	-0.0285734089	0.0528874207	0.2487147932	-0.1087060926	0.1001302399	-0.1622895472	0.0171766662	0.0056296613	0.0927252679	-0.0892203001	0.0686706079	0.1000129137	0.0388581873	-0.0239350981	-0.0991344813	-0.0832474993	-0.2099827459	-0.0022210556	0.149265609	-0.1058003114	0.1660339194	0.021671009	0.0480810402	-0.0775067092	-0.1445577019	0.0743394426	0.0409930011	0.166359461	-0.1729382112	0.1899520799	-0.0403758269	-0.0448354277	0.1116271632	-0.0163428711	0.105493918	-0.020287476	0.047105748	-0.0779291145	0.0076034589	-0.154206059	0.1020202751	0.0371571885	0.1129835632	-0.0777624348	0.1296352832	-0.0912233694	-0.0938572488	0.1440342395	0.1170999511	-0.0104294543748721	0.0085571691495261	0.0001087735185575	7.322514385360124e-05	-0.0026241635820696	0.0002054524629926	4.2210714549725694e-08	6.886234505460355e-06	-0.0040899895182775	-0.0024337681282276	1.6728014259619818e-05	5.923227301976478e-06	-0.0024270458129729	-0.0003459902297927	1.1970923911207442e-07	5.890551378269285e-06	0.0001759290703613	6.74595244000019e-08	4.550787432274452e-15	3.0951037798191246e-08	0.0004707141623305	-0.0001429694338223	2.0440259007469027e-08	2.2157182261850434e-07
