global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
28459.925762682586	n/a	809967374.4174039	n/a	33908.38785394194	n/a	1149778766.853357	n/a	25895.844119510137	n/a	n/a	670594742.6619678	29628.426672952588	30750.20222024357	n/a	n/a	n/a	n/a	-0.0128078669	-0.0933453045	0.0028638093	-0.0470574887	0.0950384792	-0.1435799057	-0.098865502	-0.0753689554	0.0843975339	-0.2027533253	0.000554276	-0.0142533439	0.045158102	-0.0265284991	0.1195676812	-0.107170422	0.0559295778	-0.1658987753	0.2231758403	-0.0643571261	-0.1238882881	0.0507504621	-0.0191393039	0.0444335399	-0.0016896492	0.0060720609	-0.048283031	0.1006151752	-0.0018848144	0.1521268806	-0.077859971	0.0084610415	-0.0434403881	0.2118377445	-0.14543593	0.039402373	0.0540802275	-0.0708443269	0.1142477174	0.0242664857	-0.0955261091	-0.0761664051	0.088965917	-0.0945547391	0.1262712326	-0.0905850191	0.0661530509	-0.0694071132	0.0206330759	-0.1579598273	0.040279496	-0.1358602586	0.0817441017	-0.0782220291	0.0985448627	-0.1663374465	0.02374718	-0.0468177532	0.0824459565	-0.176713218	-0.0224674536	0.1998232655	0.1172212051	-0.1622012692	-0.0044323364	0.2230793476	-0.1338693176	0.237556896	-0.0121324693	0.0690687143	-0.0337215062	0.0458848994	-0.2136544906	0.0316273909	-0.2527030804	0.1706618237	-0.0570304571	0.1118099634	-0.0518280031	0.1148768771	-0.0827046085	0.0990677601	-0.0767906777	0.0595037286	-0.0052778364	-0.0827185322	0.0794556526	-0.0356666533	0.153366806	0.1532882396	0.0445129777503723	n/a	n/a	0.0019814051882051	-0.0382029151278118	n/a	0.0014594627242627	n/a	0.0928999400623808	n/a	n/a	0.0086303988635939	0.0004087002000677	n/a	1.67035853535378e-07	n/a	0.0013877943499396	n/a	n/a	1.925973157724277e-06	-0.0010092833514038	n/a	n/a	1.0186528834208866e-06
28414.54259203042	-45.38317065216688	807386230.7143108	2059.6321784437014	33950.54791600571	42.160062063769146	1152639703.7969997	1777.4708332208663	25898.644778689824	2.8006591796875	7.84369184076786	670739801.3727577	29638.534595905174	30508.051936335607	1.043218	20.867115	0.1579597234968112	0.0778714915059262	-0.0998232533	-0.0600317557	-0.1017266901	0.1890330769	0.0767810492	-0.0940298202	0.0037048712	0.0012928416	0.1373282981	-0.1142377352	-0.0715942355	0.0613744883	0.0177595815	-0.2000619623	0.0398680301	-0.0800607754	0.0774264158	-0.1288150332	-0.024613908	-0.0866849337	-0.0433974349	0.0209810075	0.1756858417	-0.2559498059	0.1648338576	-0.0099804643	-0.0381555624	-0.189823317	0.1972065508	0.1278575529	-0.0382115227	0.1053859931	-0.0395501379	-0.1636176228	-0.0727891003	-0.0498031831	0.0265025709	-0.000810244	-0.0347209247	0.010448596	0.07991396	-0.099944559	0.1034386733	0.0251403924	0.1715169715	-0.2080165197	-0.0827339063	0.1204584052	0.0518935372	-0.1301359091	0.1591009125	-0.0334679448	-0.0273792382	-0.1637994747	-0.047196693	0.178792335	-0.043327648	-0.2272604313	-0.134622528	0.077905722	0.0537413788	0.1504306944	0.0876669673	-0.1297253984	-0.0287467376	0.2856286502	-0.0621712726	-0.0061686152	0.1428651153	-0.0544435826	-0.0916146802	-0.1188761507	-0.1389058105	-0.056609991	-0.0483844787	0.1910385768	0.0882441462	0.0174038585	0.10653243	-0.0829532731	-0.2393228591	-0.0190296517	-0.0549267388	-0.2376128445	0.1307147307	0.0175077378	0.1009004671	-0.2220019834	0.1531573254	0.1524510324	0.0139790174879692	-0.0305339602624031	0.000932322729306	0.0001954129299289	-0.0318205269446991	0.0063823881831127	0.0010125459350383	4.073487891993665e-05	0.1593725095277562	0.0664725694653754	0.0044186024913291	0.0253995967931747	0.000773688767057	0.0003649885669893	5.985943082701807e-07	1.3321665403290274e-07	0.001011974624161	-0.0003758197257786	1.4124046628430217e-07	1.024092639945797e-06	-0.0013598911703543	-0.0003506078189504	1.2292584270922646e-07	1.8493039952075877e-06
28511.806446326344	97.26385429592484	812923106.8327764	9460.257352498897	33856.86390089626	-93.68401510945114	1146287233.203812	8776.69468702787	25947.284785090265	48.64000640044105	2365.8502226349465	673261587.7185768	29629.89679754849	31062.909912487303	1.135664	22.716282	0.1633258274666723	0.0801267399473089	0.0280673289	-0.2762586159	0.0454492545	0.2239140992	0.2153410658	0.0521495756	0.0429187922	0.0353591021	0.2598407647	-0.0339103038	-0.0172111365	-0.1587575973	-0.1188773259	-0.0249666604	-0.1252651234	-0.0986320602	-0.0820065203	0.1141255556	-0.0202608445	-0.0003300358	0.154620637	-0.1285339867	-0.0326999556	-0.0754325506	0.0083515526	0.1916105515	0.0740637666	0.0459511258	0.1713991015	-0.0582256155	0.1740906392	0.1498051601	-0.1200629975	-0.1318513894	0.0341868984	-0.1339484432	0.0333309599	0.02047246	0.0537020824	-0.2029405815	0.0230175448	-0.0427346697	-0.1685127353	0.1464724207	0.2397985228	-0.0288189155	0.1713149866	0.0147319932	-0.0390082529	0.0668324075	0.1199845796	-0.1084726186	0.1596583599	0.0413228472	-0.0224959547	0.0973343234	-0.0230900971	-0.0200657483	0.0318482117	-0.0420156282	0.1558525886	-0.1244602633	-0.0714805319	0.0824301932	-0.0140290693	0.1401920098	0.0213770928	0.005097702	0.2105749321	0.1806611038	0.1788558261	0.0853730558	0.0064316251	-0.1122490021	0.1164664734	0.2425686415	0.0524118041	-0.0525911907	0.0516996209	0.0546966917	-0.1284637226	0.0513848244	-0.0743531143	0.060574779	-0.0813027215	-0.032008921	-0.0543989741	0.2225518864	0.1527386503	0.1507811905	-0.0469022495069566	-0.0608812669949258	0.0037065286709074	0.0021998210088128	-0.0243297258459023	0.0074908010987967	0.0005919355597367	5.611210110173533e-05	0.1148482881544765	-0.0445242213732797	0.0019824062888968	0.0131901292920136	0.0005412387729264	-0.0002324499941306	2.929394093188752e-07	5.403299977131599e-08	0.0015910778294212	0.0005791032052602	3.353605223426373e-07	2.5315286592756767e-06	-0.0015569287309569	-0.0001970375606026	3.8823800288223315e-08	2.424027073279063e-06
28422.775051722903	-89.03139460344028	807854141.6408418	7926.589225033495	33992.560234573284	135.69633367702772	1155494151.3010929	18413.49497338725	25894.83792361697	-52.44686147329412	2750.673278398903	670542631.0903916	29634.162105334053	30701.521172207576	1.075951	21.52187	0.0752303062953251	0.0382418241894729	-0.0169444291	-0.0561826778	0.0519710694	-0.1808742195	0.1377761868	-0.0463165801	0.0284386825	0.1523194757	-0.0452095141	-0.0587430807	0.0730642333	0.0274719697	-0.0629551841	-0.1759628955	0.0967223411	0.0538132933	-0.0358009839	-0.01109023	0.0508688612	-0.0204019047	-0.1982815934	-0.009238916	-0.0415568666	-0.0712788098	0.0017720727	0.0660527405	0.1484083311	0.0368273148	0.0389814893	-0.0025028821	0.1135882034	-0.0506511694	0.0459250175	0.1889385593	0.075186588	0.0658016877	0.0368997769	-0.0885094001	0.0637722469	-0.049011074	-0.1034244503	-0.0379763806	0.146927628	0.0730359743	-0.0488725321	-0.0901000972	0.095415121	-0.0337036289	0.0628103403	0.1010178389	0.090591938	0.0127555129	-0.0590868592	0.1027273703	0.0208919421	-0.0625903942	-0.0137935039	0.1150014886	-0.2019085328	0.0942926208	0.0483480811	0.0130783644	0.1093791412	-0.2055244365	-0.0103273893	0.0788856231	-0.0233324219	0.1757831569	0.0345748523	0.0412743598	-0.0719091559	0.0062936837	0.0832726378	-0.0128405987	-0.1870979394	0.0625076364	0.0277491086	0.0428188976	-0.0391069394	0.0636825489	0.0154242647	-0.0938339779	-0.0207403975	0.0252112253	0.0440021098	-0.0162874329	0.08608328	0.2154145234	0.1521113526	0.148287834	-0.0300500356262887	0.0168522138806679	0.0002839971126797	0.0009030046411412	-0.0402656081824659	-0.0159358823365636	0.0016213192023038	0.0002539523458447	0.0913534870760628	-0.0234948010784136	0.0005520056777142	0.0083454596009563	0.0007228511892456	0.0001816124163192	5.225138417937783e-07	3.298306976129845e-08	0.0015638802112734	-2.7197618147799946e-05	7.39710432913537e-10	2.445721315212534e-06	-0.0017270668764835	-0.0001701381455265	2.894698856323049e-08	2.9827599958464725e-06
28422.12950074297	-0.6455509799343417	807817445.3570038	0.4167360676941889	33956.14609771573	-36.41413685755106	1153019857.809415	1325.9893630804584	25894.056427826752	-0.7814957902191964	0.6107356701303261	670502158.287476	29599.155061287714	30419.80229390148	0.936247	18.727417	0.0688826654043798	0.0355310785551707	-0.0171316643	0.004509986	-0.0495139253	-0.0374011336	-0.0470833303	-0.0114661196	0.0313254386	0.0330466947	-0.0060971059	0.0403789506	-0.2141643248	0.0003101752	-0.0683383359	0.0146153332	-0.027445414	0.0423153289	0.0247654463	-0.0259567185	-0.1318594758	-0.0117155362	0.1529456388	0.0040667145	0.1004618457	0.10243721	-0.0805357493	-0.1521984856	0.0905187358	-0.0677557486	0.0922297657	-0.1010475044	-0.0771418563	0.1050073387	0.1006399198	0.1060968452	0.017674706	0.0589655023	-0.1570456506	0.2300028882	-0.1563854406	0.1422108333	-0.0595947792	-0.0318566167	-0.0719238677	0.0499037557	0.0078765188	0.1399231667	-0.0332013892	0.201288705	-0.0321146788	0.1611990202	-0.1182163028	-0.0192367536	-0.1914322047	-0.0972541059	0.0047391548	0.0400967596	0.0570128166	0.0356447991	0.0755984924	0.222662202	-0.1057085614	-0.0445351403	0.0326950643	-0.0157600834	0.0114559825	0.0552970172	0.0004365116	0.0834669678	0.1128368059	0.1096159555	-0.0186640408	-0.1160301378	0.0096394356	0.0229485205	-0.0358690061	-0.126700357	0.0021913871	-0.0888536728	0.1632169205	-0.0853947865	0.0924202398	0.0131146456	-0.0596121404	0.0470619392	0.0070946139	0.0309558939	0.1169708208	0.0719418402	0.151276289	0.1449845808	-0.0472511075537767	-0.0172010719274879	0.0002958768754546	0.0022326671650585	-0.0619366813378263	-0.0216710731553604	0.0038361524951434	0.0004696354117049	0.0916225348178443	0.0002690477417814	7.23866873577203e-08	0.008394688886447	0.0010341264510159	0.0003112752617702	1.0694175166907406e-06	9.689228859016877e-08	0.0014031678780357	-0.0001607123332376	2.5828454054705518e-08	1.968880093951209e-06	-0.0016042250198965	0.0001228418565869	1.5090121729741063e-08	2.5735379144619257e-06
28391.675227429205	-30.454273313764133	806087222.2198172	927.4627630694464	34035.25310318845	79.10700547271699	1158398453.798099	6257.918314860476	25915.75156381968	21.695135992926225	470.678925751563	671626179.1176221	29667.098026670257	30175.718099328387	0.893576	17.873878	0.0837129676871339	0.0532435970968931	-0.0936958204	0.0704642596	-0.0601593802	-0.0246069246	0.0124501178	0.1152070982	0.0171466765	0.027738911	-0.0836206884	-0.0115414068	0.0030374005	0.0330134366	-0.0056396409	-0.000191716	-0.0109140809	0.0347787996	0.0343796509	-0.2707067477	-0.0121338572	-0.0289623252	0.0946225254	-0.0034853009	-0.0180942976	0.0840927459	0.0579326539	-0.2213998996	0.0476194907	0.1154815859	0.1379926474	-0.2462024778	-0.0282738598	0.0900381181	0.0525447262	-0.0081023665	-0.0569616949	0.0670116381	0.0107745215	0.0470073237	-0.1403968242	-0.0134184328	0.0217605271	-0.0092543401	-0.0298979158	0.0067822147	-0.0410489553	0.1018319844	-0.1291504636	-0.0422035336	0.0926382737	0.1041844245	-0.1742771917	0.025995123	-0.0215982143	-0.1083627915	0.0996739145	-0.039494441	0.1550672827	0.1911659081	-0.0621959179	0.175098915	-0.1077102097	0.1048000252	-0.0601051626	-0.0412010801	-0.0385979404	0.0397449742	-0.0855563396	-0.0819158645	0.0490846774	0.0320241969	0.1699342728	-0.0806434313	0.0035967093	0.0021856493	-0.1605418875	-0.1486258124	-0.1753528414	-0.1186811934	0.0714918139	0.0823667377	0.0974855646	0.1263289604	-0.0499731931	0.0757796892	-0.1832424022	0.0497105929	0.1169540485	0.0419244415	0.1502346003	0.1408894722	-0.0637147710366008	-0.016463663482824	0.0002710522152756	0.0040595720482464	-0.0620111359003914	-7.445456256510025e-05	0.0038453809756568	5.543481886760427e-09	0.125606003499854	0.0339834686820097	0.0011548761436611	0.0157768681152053	0.0009222258349448	-0.0001119006160711	8.505004906396335e-07	1.2521747877091726e-08	0.0012330868165608	-0.0001700810614748	2.892756747242869e-08	1.5205030971760482e-06	-0.0019860709615452	-0.0003818459416487	1.4580632315358257e-07	3.944477864293076e-06
28308.57581029396	-83.09941713524313	801375464.4071604	6905.51312821714	33987.26099500317	-47.99210818528081	1155133909.942464	2303.2424480676978	25891.733276367188	-24.018287452490767	576.8781321504755	670381852.0545399	29619.098983028016	29863.111710728503	1.190911	23.821371	0.1833764895165399	0.085667723222024	-0.2137111627	-0.009879421	-0.0593311143	0.0712698188	0.029149278	0.0670826799	-0.1943361921	-0.0235563348	-0.0459408041	0.0675049605	-0.0795940701	-0.0288925883	-0.0728304304	-0.1997584933	0.0303277966	-0.097492261	-0.0514300548	0.1965752952	-0.0122452599	-0.1224469166	0.2263679188	0.2314879283	0.1852277015	0.0327256733	-0.168721423	0.0364306425	-0.1902321694	0.0876747639	-0.3042263351	0.1134152656	0.0668985464	0.0317977551	-0.0198783342	0.0667586055	0.0678009632	-0.1790494396	-0.1424523416	0.094518946	-0.1131020066	-0.0921355984	0.0350583106	-0.1687942734	-0.0529765223	-0.1197243084	-0.0254303354	0.0285503738	-0.1401205111	0.4032930459	0.0399889757	-0.1582495414	0.1585470204	0.3149179143	0.0102637881	0.0739036476	-0.1237540569	-0.178861316	0.0002936664	-0.0644224183	-0.0598440522	0.0245571729	-0.1069259609	-0.1319603711	-0.2746772146	0.1762388916	-0.2010543932	0.1542980297	-0.1681474142	-0.1164476482	0.0020518059	-0.0728129815	-0.0261335171	0.0564481306	-0.0406876852	-0.1204129826	0.1667941976	-0.1517928496	0.0872846987	0.5321214757	0.192200383	-0.2190243936	0.1801147652	0.1530382776	0.3020126271	0.1133077472	0.0156298477	0.0338995653	-0.105746119	-0.1026945124	0.1489877092	0.136024874	-0.0296994526056408	0.0340153184309599	0.0011570418879596	0.0008820574850747	-0.0036484989322076	0.0583626369681838	1.331154445832e-05	0.00340619739388	0.0710120213408629	-0.0545939821589911	0.0029805028879762	0.0050427071749151	0.0003448604611225	-0.0005773653738223	1.1892873764562333e-07	3.333507748889642e-07	0.0013381500254219	0.000105063208861	1.1038277856191109e-08	1.7906454905366317e-06	-0.0020317334180299	-4.56624564847e-05	2.085059932217121e-09	4.127940681939461e-06
28297.05764633789	-11.518163956072383	800723471.4401696	132.66810091896505	33927.71844265546	-59.54255234770972	1151090078.7241037	3545.315540079752	25845.64934148015	-46.083934887035866	2123.729054672561	667997589.8827534	29601.676429148705	29687.899520259893	1.220075	24.404722	0.166034133770035	0.0960920206330625	-0.181607853	0.1726639723	-0.1177660966	0.2456668353	-0.0050939761	0.1433018377	-0.0901630109	-0.0713685428	-0.1751590122	-0.0271743125	0.1026331187	-0.1307673136	0.069221233	0.0712981695	-0.1931646359	0.0747483571	-0.3532165228	-0.1013866416	0.0395933117	-0.0389806068	0.1619249039	-0.2178883658	0.1249209482	0.0561945373	-0.1352227194	-0.007024664	0.0061941259	-0.0689137013	-0.1067774224	-0.0357627931	0.0977270515	-0.0109358014	-0.1056621234	0.1052876917	-0.1186413114	0.063106432	-0.0702490532	0.1807158229	0.2170969798	0.1097603692	0.1670394884	-0.0217327152	-0.0282928745	-0.0100008964	0.0271877976	0.4007833191	-0.2149829367	-0.0641953019	0.0502700584	-0.0863449872	-0.1692265	0.1002730153	-0.070346314	0.032241489	0.1626085192	-0.0940403046	-0.2492639935	-0.154868155	0.1502270074	-0.0031709972	0.0310346182	0.0454866699	0.1271598437	-0.0791555198	-0.0569125085	0.1270120822	-0.0887035881	-0.2638771719	-0.0418223206	0.0412332389	0.2150608096	-0.0408804159	-0.0954993368	-0.059582586	0.0335564087	-0.0096637939	-0.1194270315	-0.2222800604	0.1794430673	0.1406428375	-0.0208122397	0.1662891051	0.0328661324	-0.0659311758	0.0333931559	-0.0250656799	-0.1356219092	-0.0470621046	0.1475373187	0.1304173552	-0.0259615553852938	0.0037378972203469	1.3971875629877814e-05	0.0006740023580236	-0.0784227279753935	-0.0747742290431859	0.0061501242631025	0.0055911853290028	0.12685671890533	0.0558446975644671	0.0031186302460667	0.0160926271314259	0.0003718863737651	2.7025912642600025e-05	1.382994749921557e-07	7.303999541654476e-10	0.001012175657493	-0.0003259743679288	1.0625928854664585e-07	1.024499561621387e-06	-0.0017511874997607	0.0002805459182692	7.870601225750873e-08	3.066657659318132e-06
28388.83590782697	91.77826148908208	805926004.201526	8423.249281958326	33979.03399627221	51.31555361674691	1154574751.3198223	2633.286042993227	25894.6711755701	49.02183408994824	2403.140217542412	670533995.290901	29606.71553340517	30099.84196467444	1.062198	21.246773	0.1214425440442538	0.0593405837018721	-0.0991102358	0.0644684546	-0.0941049625	0.1309572134	0.016158516	-0.060873135	-0.0336205762	-0.0358992063	0.0057708485	-0.1676013675	0.1739832133	-0.0317768345	-0.1525299391	0.0393541789	0.0206486811	-0.0611518718	-0.1638845701	-0.0832872179	0.0106989146	-0.1097640889	-0.1538258057	0.0456951657	0.0129296464	0.0582659396	0.0720967735	-0.1171336761	-0.0772678852	0.0654457677	-0.1425856258	-0.0136052862	-0.0493424236	0.173299984	-0.0280907729	0.013480806	0.0787634383	-0.1643295531	0.0948881004	-0.0137663399	0.0366391942	0.0660965325	-0.1241167085	-0.0800305935	0.1497005763	-0.0816919348	0.0133915876	-0.0378605584	0.0067053691	-0.1021889337	0.1436422512	0.0626988342	0.0225448305	0.0955193067	0.1321941286	-0.212972849	0.1478209074	-0.1750127738	0.0931474495	-0.1034848461	-0.0587113473	-0.1315403324	0.0188224127	0.0488882639	0.1736436116	0.0738576701	-0.0639583195	0.0378071162	-0.0289090638	-0.1014946221	0.0579733086	0.0426539916	-0.0419343034	0.0258644813	0.0809201375	0.038860208	0.0089569713	0.1576626709	-0.1190257361	0.0882642576	-0.1325927682	0.0701174978	0.044967932	-0.0622822059	-0.205505156	0.0255152316	-0.0419097603	0.2571805491	0.0373881113	-0.0423333944	0.1458854101	0.124097542	-0.059345475657011	-0.0333839202717172	0.0011144861327083	0.0035218854809568	-0.055668530687484	0.0227541972879095	0.0030989853089033	0.0005177534942171	0.0914254113805128	-0.0354313075248172	0.0012553775529181	0.0083586058460959	0.0005057898783597	0.0001339035045945	2.5582340105112005e-07	1.7930148542716045e-08	0.0014560541995609	0.0004438785420678	1.9702816010832438e-07	2.120093832058933e-06	-0.0017708678322944	-1.9680332533700013e-05	3.8731548863701116e-10	3.1359728794550677e-06
28437.4059624756	48.57005464862959	808686057.8746428	2359.0502085708654	33983.32789697018	4.293900697972276	1154866574.9529915	18.437583204046803	25921.18461650127	26.51344093116859	702.9625500105659	671907811.922742	29645.801699892243	30664.108144092854	1.012515	20.252974	0.0690890101974227	0.0336379493933272	0.0222452346	0.0280057494	-0.119722554	-0.1430183354	0.1025192944	-0.0119694498	0.0337588921	-0.0181310847	0.1760114141	-0.1736467777	0.1402306713	-0.1016382619	-0.0334441101	0.021679171	0.0981301406	0.0119638848	0.2021640128	-0.0749512709	-0.0649738635	-0.0348682461	0.0828462133	0.0606459935	0.0259810716	0.028219581	0.2246854814	0.034013273	0.0217461743	0.0056981868	0.0515917142	0.0532069118	0.0855155912	-0.0244722393	0.0763608984	-0.0818009308	0.1840522818	-0.0116690465	-0.0263541854	0.075223464	0.1866977562	-0.1212332618	0.0803270227	-0.0219951159	-0.0537742378	0.0215840019	0.1899456256	-0.217401873	-0.1035412925	-0.074557201	0.0601829736	0.1222926099	-0.0370193926	0.1121404714	0.1322526948	0.0771754574	-0.1825340373	0.0628556784	-0.2100699154	0.051072165	-0.092948763	0.0743707415	-0.0496686983	0.0841195604	0.0648294099	0.078792117	-0.0215415238	-0.0020005611	0.01420094	0.0732436001	0.082562731	-0.0597366215	-0.0031250951	0.0387623249	0.2183677475	-0.0254202912	-0.0386901426	-0.0709047961	-0.056130659	0.0313502642	-0.1729380816	-0.113524814	-0.0687999754	-0.0587037742	-0.1166430613	0.010853739	0.2722233176	0.0344054924	-0.0527267101	0.221850429	0.1440342395	0.1170999511	-0.0726736171510253	-0.0133281414940142	0.0001776393556844	0.0052814546298137	-0.0269041540553729	0.0287643766321111	0.0007238335054352	0.0008273893630339	0.0815834675450304	-0.0098419438354823	9.686385846078996e-05	0.006655862176671	0.0003721368900676	-0.000133652988292	1.38485864949185e-07	1.7863121279408212e-08	0.0014522108035621	-3.84339599880006e-06	1.4771692803592306e-11	2.10891621798248e-06	-0.001565273251869	0.0002055945804253	4.226913150029624e-08	2.4500803530165542e-06
