global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	w_comp_cor_00	w_comp_cor_01	a_comp_cor_00	a_comp_cor_01	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18
26566.36651178426	n/a	705771829.6384523	n/a	28430.99322747565	n/a	808321375.9007663	n/a	27713.28818873356	n/a	n/a	768026342.2317991	28312.50862742457	32329.39843444824	n/a	n/a	n/a	n/a	-0.0506925359	-0.0326635603	0.048675402	-0.0493858045	0.0074983436	-0.0425309	0.0182562486	-0.0435529639	0.0241431259	0.002915284	0.0179013683	-0.0467044827	0.0026051843	-0.1481526875	0.0886062993	-0.053036352	0.0365418104	-0.0490770359	-0.0834429377	0.0113924101	-0.0709177371	0.1138631649	-0.1900430953	0.054956424	-0.0542459008	0.0343199133	-0.0650761601	0.0976640761	-0.121712195	-0.0615378295	0.1437642669	0.153366806	0.1532882396	-0.0021886509655359	n/a	n/a	4.790193048941227e-06	0.0344162706406905	n/a	0.0011844796848132	n/a	0.1256144874758717	n/a	n/a	0.0157789994638259	0.0012080010975206	n/a	1.4592666516109744e-06	n/a	0.0003240001845792	n/a	n/a	1.0497611960735565e-07	-1.959722974190443e-07	n/a	n/a	3.840514135569836e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26776.24365240276	209.87714061850056	716967224.1328392	44048.41415419786	28952.402047821968	521.408820346318	838241584.3387257	271867.15793493885	27915.56702302632	202.2788342927597	40916.726802837744	779278882.2170746	28615.777249461207	32584.64931762696	0.944821	30.999283	0.1574092432084833	0.0721160154533977	-0.0515369687	-0.067628025	-0.0619192938	-0.0626921321	-0.0237043245	-0.0641949658	-0.0283639758	-0.0528147893	0.0300117551	0.0076531602	0.0157467739	-0.0261911282	0.018954253	-0.111315685	0.0730589086	-0.0097480599	0.0300610621	0.017554699	0.1584428766	0.0232888243	0.0617923151	0.0654987081	0.122715221	-0.1708656869	0.0661982934	-0.0216665735	0.3323653652	0.1496395538	0.1049057508	0.1745659497	0.0975977769	0.1531573254	0.1524510324	-0.023203415116825	-0.021014764151289	0.0004416203123343	0.0005383984730837	0.0901401191681117	0.0557238485274211	0.0081252410836413	0.0031051472947069	0.1256196185098588	5.131033987110234e-06	2.6327509776880342e-11	0.0157802885545624	0.0016817411940441	0.0004737400965234	2.828253443744876e-06	2.244296790540951e-07	0.0008080523298406	0.0004840521452614	2.3430647933216354e-07	6.529485677608219e-07	0.0006553217758334	0.0006555177481308	4.297035181144999e-07	4.2944662988144093e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26723.58936348325	-52.6542889195116	714150228.4680752	2772.474141619402	28753.338672720507	-199.06337510146116	826754484.8281647	39626.22730678502	27825.909548543925	-89.65747448239563	8038.462730561423	774281242.203748	28527.32540690104	32731.014719238283	0.83897	27.526365	0.166520586683693	0.0886396039596807	-0.048031299	-0.0543065087	-0.0459327981	-0.0559686794	-0.0187882618	-0.0533817994	-0.022873065	-0.0512663894	0.0227071747	0.0029985429	0.0117375831	-0.0202763849	-0.0095446543	-0.1063775451	0.0408718785	-0.0164340148	-0.0320021097	0.0309593509	-0.0003160922	-0.0963874538	0.0175813994	-0.1524391718	0.0243122443	0.0597187497	-0.0526764903	0.0724527559	0.0205183295	-0.0388168159	0.2375820512	0.0171398666	0.0236831498	0.1527386503	0.1507811905	-0.0276592301041631	-0.0044558149873381	1.9854287201386852e-05	0.000765033009955	0.1289400119552937	0.038799892787182	0.0166255266830312	0.0015054316802968	0.0398763079227109	-0.0857433105871479	0.0073519153104441	0.0015901199335468	0.001263846341503	-0.0004178948525411	1.597307574930518e-06	1.7463610778034773e-07	0.0008492302957854	4.117796594480005e-05	1.6956248793511122e-09	7.21192095279758e-07	0.0003639632278788	-0.0002913585479545	8.488980346621293e-08	1.324692312479553e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26604.547995521345	-119.04136796190504	707801974.0459988	14170.847286241677	28533.04227120536	-220.29640151514832	814134501.2503918	48530.50452052344	27763.672975522444	-62.23657302148058	3873.3910214580847	770821537.0917553	28401.57634922773	32315.50849609375	0.699983	22.966225	0.0995571315286529	0.0520472754477788	-0.055501827	-0.0562429572	0.0022714669	-0.0564302361	-0.0183332506	-0.0555119951	-0.0049643953	-0.0475727636	0.0255315112	0.0004504533	0.0157162564	-0.0145182418	-0.0109546921	-0.0943568947	0.0615463472	-0.0110261654	-0.0188667979	0.015389963	-0.0567530932	-0.0354295292	-0.0614510709	-0.1121397547	-0.0980723751	0.1172054897	-0.0473951058	0.0389223119	0.012604774	-0.0290125052	0.0429218591	-0.0123266048	-0.0380303928	0.1521113526	0.148287834	-0.0375806796244688	-0.0099214495203057	9.84351605839742e-05	0.0014123074810369	0.0903157796809353	-0.0386242322743584	0.0081569400593752	0.0014918313187835	0.0646455685210298	0.0247692605983189	0.0006135162705874	0.0041790495294071	0.0013669277819649	0.0001030814404618	1.868491561107481e-06	1.0625783367700214e-08	0.0004467354453072	-0.0004024948504782	1.6200210466146865e-07	1.995725580938223e-07	0.0003446957361055	-1.9267491773299983e-05	3.7123623923418254e-10	1.1881515048931253e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26625.62039041008	21.07239488873529	708923661.174221	444.0458263467971	28582.57056192505	49.52829071969245	816963339.9274246	2453.0515816143734	27789.58209776509	25.909122242646845	671.2826153844175	772260873.168426	28408.67606018768	32219.464291267395	0.679229	22.28529	0.0946303162446043	0.0558184395100471	-0.051651174	-0.0486872417	0.0036032916	-0.0506655766	0.0018114448	-0.051148546	-0.0079275231	-0.0432194185	0.0280733413	0.0004402982	0.0198846807	-0.0254280499	-0.0090591754	-0.1168040393	0.0532138041	-0.0380412189	-0.0310068558	-0.0695908586	0.1692158076	0.0003254711	-0.0381103039	0.0648054436	-0.1304473091	0.0086927365	-0.0208957291	-0.0996199994	0.0250393977	-0.0509497864	0.0245221354	-0.052806761	0.1214352813	0.151276289	0.1449845808	-0.0376286489218244	-4.796929735560035e-05	2.301053488790006e-09	0.0014159152196819	0.0454284329239271	-0.0448873467570081	0.0020637425179237	0.0020148738988838	0.0782855027170654	0.0136399341960355	0.0001860478048721	0.0061286199356636	0.0018149609877533	0.0004480332057884	3.2940833870664344e-06	2.007337534890308e-07	0.0005221340269219	7.539858161469999e-05	5.6849461095085755e-09	2.726239420696794e-07	0.0001470262036245	-0.000197669532481	3.9073244071257123e-08	2.1616704552232933e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26691.76598239004	66.14559197995914	712450371.2586741	4375.239338379234	28647.36543306953	64.79487114448057	820671546.2558271	4198.37532662984	27757.61827290538	-31.963824859711167	1021.6860996622896	770485372.1843307	28439.24338238596	32535.605227864584	0.726349	23.831282	0.0726391221047944	0.0453364311656299	-0.0441830894	-0.0463400945	-0.0189446833	-0.0448343969	-0.0019836737	-0.0459275615	-0.0002236994	-0.0397167944	0.0199294361	0.0086295207	0.0041346779	-0.0459473834	-0.0036057193	-0.1133268105	0.0621648099	-0.0023205627	0.0127782814	0.0546739755	-0.0605293237	-0.1014646041	0.0412576691	-0.1785732258	0.0346468741	0.0699574385	0.0274793915	-0.0693050735	-0.1123442647	0.0357646472	0.0525426904	0.0535576654	-0.057159288	0.1502346003	0.1408894722	-0.0375997823214788	2.886660034560201e-05	8.332806155127101e-10	0.0014137436306225	0.0451892763244785	-0.0002391565994485	0.00204207069473	5.7195879059817714e-08	0.0646864334932502	-0.0135990692238151	0.0001849346837541	0.0041843346780766	0.0010935507001527	-0.0007214102876006	1.1958531338044602e-06	5.204328030559804e-07	0.0004458740024659	-7.626002445599997e-05	5.815591330029714e-09	1.9880362607496141e-07	-0.0002307440779426	-0.000377770281567	1.42710385635286e-07	5.324282950558066e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26728.55761280023	36.7916304101891	714415792.060781	1353.6240682399514	28696.167216247293	48.801783177761536	823470012.902826	2381.6140413292487	27830.61113160313	72.99285869775122	5327.957420869875	774542915.9585121	28472.96236530172	32530.898306884766	0.691251	22.679733	0.0296618901065453	0.0189422057063138	-0.0418492487	-0.0417639429	-0.0338837122	-0.0442755135	-0.0147068383	-0.0430762891	-0.0145281125	-0.0354360599	0.025622137	0.0046926042	0.0140437456	-0.0292912343	0.003425279	-0.1359365679	0.0784248811	-0.0468117898	0.0463729127	-0.0309510962	-0.0493327395	0.0641272982	-0.0615526796	0.0925640399	-0.065373422	-0.0315712239	-0.0091317687	-0.0128772499	-0.0273371316	0.1442812862	-0.0810399883	-0.196004664	-0.1786358567	0.1489877092	0.136024874	-0.0393624717755329	-0.001762689454054	3.107074111433533e-06	0.0015494041842796	0.0452207401773279	3.146385284939768e-05	0.0020449153421853	9.899740361285504e-10	0.0670533787434521	0.0023669452502018	5.602429817453317e-06	0.0044961556009128	0.0013650424579533	0.0002714917578006	1.8633409120151864e-06	7.37077745536597e-08	0.0002767949762914	-0.0001690790261745	2.8587717092117252e-08	7.661545890015669e-08	-0.0003001891249563	-6.944504701369999e-05	4.822614554735002e-09	9.01135107420291e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26758.16575290461	29.608140104381164	715999434.4599171	876.6419604406642	28716.011393229168	19.844176981874625	824609310.3360673	393.7913600879627	27853.314604295665	22.70347269253398	515.4476723006361	775807134.4458702	28499.888802083333	32555.879236246747	0.666091	21.854242	0.0368301864674298	0.0164469139224527	-0.0365560982	-0.0468328154	-0.0165692834	-0.0436277307	-0.0066613591	-0.0464872181	-0.0159033561	-0.0331959396	0.0254516682	0.0032595537	0.0090171542	-0.0396177903	-0.025317487	-0.1087041679	0.0619349074	-0.0553173292	-0.0118428252	-0.0789314399	0.1237894082	0.0172907066	-0.0229134305	0.0641564865	-0.0920566545	0.0468688524	0.0758263812	-0.0266355796	-0.0822765802	-0.0465313556	0.0318110345	0.1050616231	0.0331802686	0.1475373187	0.1304173552	-0.052288757834475	-0.0129262860589421	0.0001670888712776	0.0027341141958723	0.0451455236191833	-7.521655814459599e-05	0.0020381183028502	5.657530619119389e-09	0.0774105020205553	0.0103571232771031	0.0001072700025771	0.0059923858230743	0.001343512304867	-2.1530153086300003e-05	1.8050253133290387e-06	4.6354749191951356e-10	0.0002254309931863	-5.13639831051e-05	2.6382587604209983e-09	5.0819132688961646e-08	-0.0001036520496829	0.0001965370752734	3.86268219570221e-08	1.0743747403466369e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26752.395352960768	-5.770399943841767	715690657.1211169	33.29751551188907	28665.777711546267	-50.23368168290108	821726811.8077828	2523.4227754190315	27870.50972934404	17.195125048376212	295.67232542929503	776765312.5734608	28516.489375112247	32788.300907389326	0.744388	24.42314	0.0902439033024441	0.0453865998144245	-0.0301216735	-0.0293477819	-0.0250216642	-0.0341242704	-0.0120513338	-0.0323688421	-0.0126435459	-0.028544507	0.0161747472	0.0119143243	0.0103109195	-0.029453811	0.0078814164	-0.1016613489	0.0702512731	-0.0390164946	0.0246828407	0.0475591033	0.0506255284	-0.069405289	0.105411806	-0.1942131982	0.1646264435	-0.0351769628	-0.0683871419	-0.0340180881	0.0207869105	0.0757622365	-0.0691153528	-0.0749649592	-0.0216134507	0.1458854101	0.124097542	-0.0204289042820988	0.0318598535523762	0.0010150502683788	0.0004173401301671	0.0451684190120431	2.289539285979525e-05	0.0020401860760474	5.241990142043633e-10	0.051833791872653	-0.0255767101479022	0.0006541681019898	0.0026867419798975	0.0012480047161948	-9.550758867220006e-05	1.557515771644463e-06	9.121699493978156e-09	-0.0001939771481447	-0.000419408141331	1.759031890147241e-07	3.762713400235089e-08	3.712110450001637e-05	0.0001407731541829	1.9817080938607145e-08	1.3779763993011361e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26743.218755477792	-9.176597482975922	715199749.4033391	84.20994136456002	28747.76748511905	81.98977357278272	826434135.378468	6722.32297051618	27851.13945796246	-19.370271381580096	375.2074133960609	775685969.1068735	28512.165149627333	32596.380439046225	0.767668	25.186945	0.1009987023757177	0.0496465953487591	-0.0304907117	-0.0361005672	-0.0254658721	-0.0361939455	-0.0005994505	-0.0371462863	-0.0041317073	-0.0279726969	0.0207344146	0.0079864858	0.0190908261	-0.0392054347	0.014293393	-0.1343181073	0.0928642869	-0.0339706751	0.0439947051	-0.0192146333	-0.1222035745	0.077458769	-0.0482602422	0.1691277604	-0.0007732817	-0.0902863404	0.0554655415	-0.1608203731	0.0951691533	-0.1232860924	0.0339485862	0.0853299945	-0.020885574	0.1440342395	0.1170999511	-0.0581961951107246	-0.0377672908286258	0.001426368256534	0.0033867971253655	0.0409362937738961	-0.0042321252381469	0.0016757801479427	1.791088403136079e-05	0.0348679049202189	-0.0169658869524341	0.0002878413200827	0.0012157707935254	0.0010935260997833	-0.0001544786164114	1.1957993309072756e-06	2.3863642928411346e-08	0.0003109216531245	0.0005048988012692	2.549227995230752e-07	9.667227438167189e-08	-0.0001441694649495	-0.0001812905694495	3.286627057132992e-08	2.0784834623825112e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
