global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
1332.1499941146128	n/a	n/a	1774623.6068195628	1640.7124718113948	n/a	2691937.415157457	n/a	1286.32558364535	n/a	1654633.5071405503	n/a	1341.8017022796785	1188.9832065080552	n/a	n/a	n/a	n/a	-0.0863640413	-0.1249921201	0.1027378809	-0.106565907	0.106197777	0.0467183375	-0.0271842299	0.1227917446	-0.2398011386	0.1183388683	-0.0970484236	-0.0758469187	0.1143637185	-0.1057922715	0.1043276853	-0.1268669208	-0.0290374684	0.1843400281	-0.0482055942	0.226788822	-0.2028258758	0.0823714084	-0.0803186482	0.1699625583	-0.3609848682	0.0466036238	-0.0494815741	0.1846855308	-0.1321910317	-0.0655530804	0.1340134613	0.0399536705	-0.1346704297	0.0107134713	-0.0781971198	0.0478691204	-0.2872511207	0.1171997706	-0.0789803855	-0.1680099158	0.1944810969	-0.0320606131	0.0453847987	-0.0263879152	0.0539420239	-0.2106812129	0.0671303029	-0.0033289202	0.0456737394	-0.1601625484	-0.1055024629	-0.0404031326	0.084597047	-0.1301316715	0.0245315324	-0.1546144346	0.0862613038	-0.1652888604	0.0682878825	-0.0274540213	0.0040629545	-0.0147289988	0.0016153454	-0.1012980397	0.0012598288	-0.0891735886	0.1378088361	-0.1712764505	0.1228234065	-0.1032133509	0.0506364201	-0.1666457455	0.1404958813	0.037570598	0.153366806	0.1532882396	-0.016434665823084	n/a	0.0002700982407164	n/a	-0.0570475937115446	n/a	0.0032544279482774	n/a	0.0813996328904664	n/a	0.0066259002347026	n/a	-9.40000003202524e-05	n/a	8.836000060207451e-09	n/a	-6.100002682152272e-05	n/a	n/a	3.72100327222649e-09	-2.872831967676509e-09	n/a	8.253163514504083e-18	n/a	0.0	0.0
1332.1906769007787	0.0406827861659166	0.0016550890902217	1774731.999621355	1623.8298129031532	-16.882658908241638	2636823.2612730893	285.0241718120307	1285.8959702404306	-0.4296134049193369	1653528.4462805784	0.1845676776863861	1342.5849184472493	1173.6815171052615	1.169822	22.176456	0.0396423384720369	0.0248569209411662	0.0474392005	0.1333234429	0.1145390335	-0.0952995367	-0.0135861333	-0.120696852	0.0777345942	0.0911852071	0.0160410454	0.0112295328	-0.0389615833	0.1657730174	0.089881783	0.1565587571	0.0647192545	-0.0399324716	-0.0620147713	0.0353648481	-0.0562753723	-0.0031100259	-0.0234506052	0.073812629	0.0391280889	0.0664828251	0.0578540695	0.0646403783	-0.0592926685	-0.1940206309	0.0065149752	0.0193760883	0.0150392469	-0.1366271229	0.0098065172	-0.06726114	0.1295587791	0.0658619775	0.0070184815	0.1317499786	0.0635775386	0.0857738239	0.1141347977	-0.0037002981	-0.0301007238	-0.1130371571	0.0606381159	-0.037857207	-0.136918781	0.0135652256	-0.011603862	0.0469564254	-0.0066996395	-0.2102869988	0.0409605907	0.0589493702	0.1073180305	-0.0256542103	0.0967530264	-0.090494707	-0.0187559056	0.0477242272	0.0880921634	0.1797444053	-0.097290571	-0.113045657	-0.0946527475	-0.1428722828	0.0991662252	-0.1083981091	0.1451414368	-0.1197277444	-0.2356701422	-0.0883363109	0.0877118625	-0.0396899109	0.1531573254	0.1524510324	-0.0127819052889464	0.0036527605341376	0.0001633771028155	1.334265951975322e-05	-0.0678841952606461	-0.0108366015491014	0.0046082639661855	0.0001174319331339	0.0854020184399502	0.0040023855494838	0.0072935047536175	1.6019090086716763e-05	0.0003249996368247	0.0004189996371449	1.0562476393618689e-07	1.7556069592760177e-07	-5.69999838082591e-05	4.000043013263614e-06	1.6000344107959056e-11	3.2489981541417997e-09	9.263796097222889e-09	1.2136628064899398e-08	8.581791813092203e-17	1.4729774078570372e-16	0.0	0.0
1331.7501018435994	-0.4405750571793305	0.1941063810085704	1773558.333760437	1632.2131709048622	8.383358001708984	2664119.835275305	70.28069138481806	1284.9489631486251	-0.9470070918055172	1651093.8378967268	0.8968224319299432	1341.4521594421692	1170.371322365046	1.115335	21.143547	0.0547197715956234	0.0331839439044789	0.1290351649	0.0120572553	-0.0207251845	-0.0927537587	-0.0454281296	-0.0309088602	0.1676718162	0.0967365246	0.1153656943	0.0201041342	-0.1169189297	0.0648406864	0.0070729547	0.0354499985	-0.0296433447	0.1119879083	-0.3233047443	0.0313985981	0.0581147433	-0.0825887718	0.0562976072	0.1413384202	0.0422985869	0.0402115691	-0.0357672999	-0.0317671665	-0.0665719331	-0.0610309729	0.0116473414	0.1930028429	-0.0816802344	-0.0195215125	0.1024385241	0.0569348127	0.1642124868	-0.0806630906	-0.218239926	-0.0643956944	-0.1332361402	-0.0994162195	0.0768769528	0.0750989576	-0.1039077149	-0.0716929419	-0.0134337194	0.0946718492	-0.1378193438	-0.0505855739	0.0090409622	0.2018856352	0.1063418476	-0.0948830698	-0.0131247904	0.0962488751	-0.0839405389	0.1402678983	0.0011326043	-0.188221405	0.1324638143	-0.131632727	0.0958481504	-0.0451337055	0.064448924	-0.0726258519	-0.1783855165	-0.1206646201	0.1796879773	-0.174816254	0.1326962876	0.0774028924	-0.1524210529	0.1291968619	0.0165990281	0.0113911199	0.1527386503	0.1507811905	-0.0163934314104494	-0.003611526121503	0.0002687445934091	1.3043120926298508e-05	-0.0569271067360972	0.0109570885245488	0.003240695481343	0.0001200577889348	0.0752516809468204	-0.0101503374931297	0.005662815485322	0.0001030293512244	-0.0002729999886327	-0.0005979996254574	7.452899379345433e-08	3.576035520471907e-07	-5.499999188884885e-05	1.999991919410256e-06	3.999967677706318e-12	3.0249991077734392e-09	-7.507955927891228e-09	-1.6771752025114117e-08	5.636940221515702e-17	2.8129166599191945e-16	0.0	0.0
1332.058825696298	0.3087238526986766	0.0953104172251141	1774380.7151154005	1623.214793958162	-8.998376946700091	2634826.2673246386	80.97078767490366	1288.532009874369	3.5830467257437704	1660314.7404708806	12.838223838863154	1340.359330981323	1160.6693840902883	1.203771	22.820034	0.1005521175685118	0.0617075465396133	0.040220561	-0.1419533596	-0.0265205697	-0.0052869114	-0.026144749	0.1183259105	-0.0187712323	-0.0702462283	-0.1043050448	-0.2132611638	-0.0321299781	-0.1100864084	-0.0041809257	-0.0008449864	0.0110525137	-0.0042668461	0.1653549312	-0.1016153593	0.0836429489	-0.0358388044	0.128318475	-0.0847144166	0.1256910016	0.0922257034	-0.0688861646	0.0474198659	-0.1243233629	0.0112049674	0.1439284653	0.1120121688	0.1114597383	0.1005177689	-0.0423742067	0.0508042649	-0.0716080569	-0.0461560771	0.0483086236	-0.0347334659	0.2059756569	-0.0765172669	-0.1021802967	0.0765609471	-0.1558368195	-0.0773645735	-0.0899955487	-0.0978390457	-0.1590904971	0.054294337	0.1922589785	-0.1109381338	-0.0194914178	0.1347209733	-0.0250794981	-0.059318962	-0.1452242338	0.0219694362	0.0116647557	-0.0985821967	0.0396700902	-0.0330040897	-0.0568481862	0.146855026	-0.1306803015	-0.1436764607	0.0456072476	0.1014336104	-0.0033739633	-0.0036867917	-0.2326312538	0.1763380129	-0.1277786318	-0.1261124101	-0.0683015991	0.2331993854	0.1521113526	0.148287834	-0.0164439390494237	-5.05076389742988e-05	0.0002704031314611	2.5510215947581075e-09	-0.001998445533232	0.0549286612028652	3.993784549294933e-06	0.0030171578215391	0.0753259875455256	7.430659870519274e-05	0.0056740043997086	5.521470611134551e-09	0.0002410080676577	0.0005140080562904	5.80848886760985e-08	2.642042819314351e-07	5.6965717085022405e-05	0.0001119657089738	1.2536319986021637e-08	3.2450929230108127e-09	-0.000284006585251	-0.000283999077295	8.065974046593353e-08	8.065547590445235e-08	0.0	0.0
1335.6871972812935	3.628371584995421	13.16508035880218	1784060.2889811571	1638.6431527388722	15.42835878071014	2685151.382017991	238.0342546663157	1286.5281228144618	-2.003887059907129	1655154.6107925028	4.015563348863237	1344.0652090846395	1200.473818362879	1.177894	22.329481	0.0773431815596215	0.0527285438040906	-0.1608167352	-0.0263760335	0.0191975144	0.0537799318	0.0002864086	-0.0345924715	-0.2296967311	0.0091236881	-0.1334402181	-0.1345955262	-0.0357500769	-0.1044775728	0.060313215	-0.2058172954	0.118462639	-0.0017865618	0.0385846211	-0.0020842883	-0.015281837	0.0702201809	0.0313859666	-0.1276763549	-0.1752162523	-0.0950178415	-0.0872011156	0.0557364348	-0.055882331	-0.1449993995	0.144764241	0.0159943928	0.0904496247	-0.0349053145	-0.1744833197	-0.0314708048	-0.1319638018	-0.0117071915	-0.0037999826	-0.0793071079	-0.084058562	-0.0142919168	0.1410117518	0.0022874091	0.0329852657	-0.0168504785	0.0121523998	-0.1618990842	-0.023914752	-0.0246315415	-0.061702556	-0.172948862	-0.1577623466	0.0084161527	0.0451097661	-0.1469474701	0.0651414371	-0.0523655033	0.061399527	-0.0502913495	0.1318030892	0.0348055567	0.1752261913	-0.0902019081	-0.1129237496	0.0251856892	0.001985787	-0.0347718006	-0.1876601911	0.1681341203	0.0365040569	0.1338721696	-0.116790714	-0.0919917761	-0.0137765769	-0.0248933439	0.151276289	0.1449845808	-0.0163595795791593	8.435947026439947e-05	0.0002676358440068	7.116520223290097e-09	-0.0534012653495352	-0.0514028198163032	0.0028516951409314	0.0026422498850673	0.0686185796416367	-0.0067074079038888	0.0047085094720356	4.498932078915119e-05	-5.2996105632557e-05	-0.0002940041732902	2.80858721221714e-09	8.643845391208747e-08	3.6005697174879e-05	-2.09600199101434e-05	4.3932243463360777e-10	1.2964102290490898e-09	-0.0002159988910681	6.800769418290002e-05	4.6655520942648935e-08	4.625046468074853e-09	0.0	0.0
1335.0106788486803	-0.676518432613193	0.4576771896654114	1782253.5126400143	1624.1901076467414	-14.453045092130878	2637993.505777533	208.8905124351685	1287.0842826210255	0.5561598065637554	1656585.95057008	0.3093137304370338	1343.8965251330342	1189.5479032241726	1.203846	22.821451	0.0500970436768596	0.0284789733829286	-0.0078429202	0.1994615889	-0.0468899096	0.0906365008	-0.0293973969	-0.0965464313	0.0134438162	-0.0198413077	0.0496567712	-0.040154662	0.153540359	0.191286187	0.0618816788	0.0588696493	0.011998336	0.0330852299	0.0056353301	0.0435884045	-0.0082215041	-0.0393302208	-0.0430703852	0.0260985582	-0.0103826267	-0.1129714759	0.0945172814	0.0349774586	-0.1216566233	-0.047252782	0.0136112359	0.0880876782	0.0578936786	-0.1230501187	0.0349647216	-0.0612176697	0.0731565999	0.1268507304	0.0825033265	-0.0105784625	0.0375259638	-0.1398281464	-0.0458769808	-0.0051462567	0.0241452345	-0.0962356521	0.0469101887	-0.0671541419	-0.1671185635	0.1162478541	-0.1751718238	0.080756939	-0.0037299877	-0.1400044353	-0.0305431262	0.1103549032	0.0968329181	0.0069002689	0.0960854552	0.0431324987	0.0317805295	0.0014976834	-0.0271343876	0.0319761144	-0.1375532962	-0.0074340965	-0.2133217076	-0.0892835685	-0.1220430022	0.0913366609	-0.0660166056	-0.050255788	0.0626258327	-0.0411600881	0.0163841035	-0.0397724691	0.1502346003	0.1408894722	-0.0164088153731682	-4.9235794008901934e-05	0.0002692492219507	2.4241634116870234e-09	-0.0298815893430344	0.0235196760065008	0.0008929093816657	0.0005531751594507	0.0593910263059029	-0.0092275533357338	0.0035272940056684	8.5147740563812e-05	0.000160999407168	0.0002139955128005	2.5920809108447448e-08	4.5794079498773354e-08	-1.0010490599787758e-05	-4.601618777466676e-05	2.117489537313391e-09	1.0020992204843908e-10	-0.000129999020831	8.599987023709998e-05	1.6899745417018775e-08	7.395977680798035e-09	0.0	0.0
1333.7488172267756	-1.2618616219047	1.5922947528359597	1778885.907453823	1633.2768139086272	9.086706261885864	2667593.1508515165	82.5682306897958	1288.5663425495532	1.482059928527633	1660403.2191515325	2.1965016317473327	1344.7543407815924	1203.1479152448492	1.132029	21.460007	0.0456728916823984	0.0245797677184466	0.0796453115	0.0048280906	-0.1300236884	0.1078517232	-0.0670824409	0.0346297402	0.0923695359	-0.0563246247	0.1035408143	-0.0520817955	0.1370865837	0.0721272843	-0.1283916667	0.0719540049	-0.1187430873	0.0609905271	-0.0342854196	-0.0228104505	-0.1270828536	0.0243533763	-0.0155093316	0.0037667341	-0.0898874687	-0.0172397279	0.0966423634	-0.0194149548	0.0777778146	-0.1516755892	-0.0229489936	0.1030163625	-0.0131594153	0.0782067332	0.180707003	0.1083751175	0.0784412106	0.0054078336	-0.0544794182	-0.1239775589	-0.1132680215	0.1418316872	-0.0447516034	0.0527577332	0.0690826761	-0.0214028281	0.1292919927	0.0499125721	-0.0480156473	-0.0608396055	-0.0652374954	0.1082361813	0.1061444098	-0.0080007901	-0.0933270689	0.1049630746	-0.0827181756	0.0456506295	-0.0388076301	-0.0404113125	0.0442748007	-0.117918563	0.1528058591	-0.004238167	0.0854580046	0.1096177898	-0.1049149146	-0.0454986303	-0.156863306	0.0164625567	0.0120672791	0.1658800432	0.08935251	-0.1794539704	-0.1076625101	-0.2067533162	0.1489877092	0.136024874	-0.0116478452552826	0.0047609701178856	0.000135672299091	2.2666836463399643e-05	-0.0099466611567748	0.0199349281862596	9.893606816769262e-05	0.0003974013617913	0.0586642280415787	-0.0007267982643242	0.0034414916517143	5.282357170246727e-07	1.1005173556076785e-05	-0.0001499942336119	1.2111384499937176e-10	2.2498270116828198e-08	2.9998096295669185e-05	4.0008586895456943e-05	1.600687025371329e-09	8.998857813642412e-10	-0.0003450001026022	-0.0002150010817711	1.1902507079552852e-07	4.6225465162786224e-08	0.0	0.0
1332.6363956039716	-1.1124216228040495	1.2374818668819951	1775919.762888345	1625.8218976071007	-7.454916301526509	2643296.8427387537	55.57577706276569	1286.1165888757164	-2.449753673836767	1654095.8801813086	6.001293062476738	1341.9373334015352	1174.7058876531355	1.124505	21.317377	0.0395438957799521	0.0174842395328168	-0.0218351718	-0.1529371381	0.0174285276	0.0460754595	-0.0384306307	0.1645346862	0.0068778488	0.0648879079	-0.0374453908	-0.0547543479	0.1005063066	-0.0697892048	-0.1393186632	-0.0634937198	-0.0869208659	0.0124229406	0.0729686263	-0.0330564933	0.0834663893	0.1087659306	-0.0228591601	0.177756875	0.0591246357	0.1131335447	-0.0943471666	0.078029019	0.0476000626	-0.1105551494	-0.1722121593	0.0027868605	0.0331383282	0.1527154588	0.0542870418	-0.0011417968	-0.0839422595	0.0073378759	-0.0433797233	-0.0364684978	0.0753035885	-0.104630925	-0.1215518887	-0.1421641187	-0.1083867266	-0.088383701	0.0698260007	0.1515559485	-0.0076600361	0.0559428615	0.0600521451	0.026263356	0.0868910699	0.0878545865	-0.0629247598	-0.0817029897	-0.1013562618	0.006471193	-0.0548075047	-0.0931809634	-0.0214058536	-0.0641257074	-0.1895546459	0.0262328359	-0.1402578715	-0.0774532534	-0.0871639293	0.0650771347	-0.0377517175	-0.0138207183	-0.0264484624	0.2224430757	0.0834837287	0.0111015951	-0.0684446521	-0.1138625355	0.1475373187	0.1304173552	-0.0140449071589046	-0.002397061903622	0.0001972594171022	5.74590576979593e-06	-0.0108269228149566	-0.0008802616581817	0.000117222257641	7.748605868649707e-07	0.0461493893758557	-0.0125148386657229	0.0021297661397643	0.000156621186829	-0.0002349801575498	-0.0002459853311058	5.5215674442128836e-08	6.050878311926782e-08	0.0001600286454479	0.0001300305491522	1.6907943712830715e-08	2.560916736388969e-08	-0.0002459813118118	9.90187907904e-05	6.050680576065399e-08	9.804720929593005e-09	0.0	0.0
1333.3908379928182	0.7544423888466554	0.569183318088648	1777931.12684319	1628.4040439003393	2.5821462932385657	2651699.730190978	6.667479479685665	1285.960245590543	-0.1563432851733068	1653693.75323929	0.0244432228187819	1343.256062400958	1195.3182690128654	1.119854	21.229214	0.0852876252100292	0.0365405406450007	-0.067708168	-0.0106799972	0.1114715524	0.0908041735	-0.068968538	-0.0586994136	-0.0929753605	0.0609336453	-0.0786212097	0.1423058578	-0.0805974705	-0.0226613109	0.0382583341	-0.1862096774	0.0775142604	0.0350896328	0.1333421175	-0.0524413854	0.1270441796	-0.0553973325	0.076333948	0.103700008	0.0584106673	0.1780117062	0.1493587827	0.031252214	0.2135315813	-0.0712406262	0.1044202118	0.0005005985	0.0112664995	-0.0604529478	-0.0499778079	-0.0120593142	-0.1682918453	-0.0749013569	-0.0135760848	-0.0049444767	0.013147801	0.1456650713	0.0336675171	-0.1055527462	-0.0410552805	0.0655008643	0.0394960487	0.0876030363	-0.0088246135	0.0235087804	0.0152082453	-0.1958540546	-0.0529574554	0.156985935	0.0273073445	-0.0541887266	0.124028449	0.0020967261	-0.0670290179	-0.0465617183	-0.0289896324	-0.0673726932	0.171005329	0.0489224741	-0.1725839004	0.0509142261	0.1054283996	0.1320412542	-0.124632631	0.0954726236	-0.1465373085	0.1470909756	0.1892966754	0.0593052055	0.0951855347	-0.0738311116	0.1458854101	0.124097542	-0.0192379152060624	-0.0051930080471578	0.0003700973814756	2.696733257784568e-05	0.0068734244698305	0.0177003472847871	4.7243963942464696e-05	0.000313302294002	0.067941826554545	0.0217924371786893	0.0046160917955678	0.0004749103181871	0.0002589842535542	0.000493964411104	6.707284358902616e-08	2.440008394373215e-07	-0.0001050385861369	-0.0002650672315848	7.026063726003e-08	1.1033104577638961e-08	-0.0002989863231109	-5.3005011299100014e-05	8.93928214073755e-08	2.8095312228177204e-09	0.0	0.0
1333.6088913894182	0.2180533965999984	0.0475472837687962	1778512.675192913	1624.6336902819182	-3.7703536184210407	2639434.627599044	14.215566407940637	1287.435102037988	1.4748564474448358	1657489.1419595643	2.175201540569601	1343.720230892226	1183.5856366117712	1.122596	21.281195	0.0777047315468843	0.0494243698548319	0.1004008213	0.1154198593	0.0172562693	0.0478227185	-0.1651600221	-0.0621368748	-0.0406908859	-0.0845153377	-0.0034276582	0.0406965675	0.01228886	0.156128712	0.0527100367	-0.0211185513	-0.07342963	0.0165729895	0.159257787	0.0112143265	-0.1128981655	0.1116638854	-0.0688609721	-0.0538162485	-0.027983485	-0.1276146934	-0.0793904176	0.1461266385	-0.0274848054	0.0542188469	0.0520503588	-0.1596573676	-0.0384134672	-0.1527750786	0.055360099	0.0387223251	-0.0634549008	0.0219918781	0.0923956646	0.0737432275	-0.0573736932	-0.1099425843	0.0376926143	-0.1432015166	0.1317820111	0.1831112161	-0.0461871951	0.1023900007	-0.0843778454	0.1413796473	-0.0167685325	-0.0547066616	-0.0932783729	-0.0293698135	0.0392742139	0.1568737034	0.0346553863	-0.064415538	0.0024444711	-0.0130338557	0.0152537483	-0.0583821609	-0.0280410519	-0.1330995532	-0.1485482025	-0.0817306764	-0.0770641563	0.0356091671	-0.1143672982	0.0884482024	-0.0517348079	0.0318699305	0.0860740922	0.0684920905	-0.0226991557	0.0155005085	0.1440342395	0.1170999511	-0.0164589230943477	0.0027789921117147	0.0002708961494256	7.722797156972532e-06	-0.0409303673704783	-0.0478037918403088	0.0016752949730823	0.0022852025143115	0.063770005869415	-0.00417182068513	0.0040666136485852	1.740408782887855e-05	7.700092720197265e-05	-0.0001819833263522	5.9291427899634914e-09	3.3117931070221295e-08	1.29945891715888e-05	0.0001180331753084	1.3931830473404448e-08	1.688593477383729e-10	-0.000140000286577	0.0001589860365339	1.9600080241642124e-08	2.5276559812758596e-08	0.0	0.0
