global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
1242.8301094633516	n/a	1544626.6809886866	n/a	1926.915193056731	n/a	3713002.1612328575	n/a	1244.1649971545585	n/a	1547946.5401446023	n/a	1422.3510612865489	1099.9302770136	n/a	n/a	n/a	n/a	-0.1191937922	-0.117456398	-0.073609654	-0.1304036671	-0.1803791633	0.1075015213	-0.0479944768	0.1534394024	-0.0369598456	0.1254133712	-0.0787839159	0.0895147932	0.0738651592	-0.2144967776	0.0004785581	-0.1657318213	0.0945679493	-0.154979811	0.3234080382	-0.0124191548	0.1128728376	-0.0548029355	0.2198979946	-0.1618549249	0.2609018788	-0.07459738	0.0499848794	-0.1152990916	0.1253480263	-0.1185812718	0.0742702925	0.0777670497	0.2110617251	-0.0668947566	-0.099238714	-0.1324532101	0.1672742951	-0.0258327453	0.1309594148	-0.2342472657	0.0942520481	-0.0725944728	0.1366487187	-0.1218361249	0.4055768571	-0.2039616572	0.0468890967	-0.1645153917	0.2292789035	-0.0771391519	0.2487205791	-0.1307756136	0.01978201	-0.0419913729	0.0901898134	-0.37481481	0.124418623	-0.0311789745	0.2550896228	-0.0449859825	0.2882560308	-0.0010680178	0.1631994936	-0.0339840246	0.0161118545	-0.2157597787	-0.2346847229	0.0911815348	-0.1065661838	0.0744755391	-0.0572222474	0.3056750725	-0.161611267	0.0847529591	-0.133633746	0.2691746272	-0.0146203083	0.2262987936	-0.1420047725	0.153366806	0.1532882396	-0.0007711269428227	n/a	5.946367619470837e-07	n/a	-0.0397656208205035	n/a	0.00158130459924	n/a	0.0488869699236218	n/a	0.0023899358283131	n/a	-0.0079660859276995	n/a	n/a	6.3458525007492e-05	-0.0006959892206888	n/a	n/a	4.844009953150031e-07	-5.772352844684268e-06	n/a	n/a	3.3320057363534565e-11	0.0
1242.4074545195608	-0.4226549437908034	1543576.2830457746	0.1786372015108071	1931.54589492165	4.630701864919047	3730869.544188678	21.443399761764734	1246.59183423396	2.4268370794015937	1553991.201178789	5.889538209958457	1422.5748428344727	1106.3989371539055	1.562331	33.386723	0.4990696985712974	0.3511523257256738	-0.0688153722	0.1333068969	-0.0119945983	0.1330377749	-0.043803396	0.0546268868	-0.0287881792	0.2238020574	0.125112376	-0.005945815	0.2192337575	0.0939405656	-0.0404294999	-0.1520780448	-0.2045190738	-0.2340617239	-0.3064842112	-0.0313039591	-0.0560906796	-0.1375404127	-0.0117014739	-0.1294058942	-0.0036891851	-0.1232575375	0.1682716201	0.1800011303	-0.0576254312	0.0175912169	-0.1057261777	0.0763036161	-0.0863417251	-0.1939305767	-0.1160341055	0.0623864989	-0.0040154781	0.1138064415	0.0220613334	-0.0847238531	0.3485702288	-0.0222999856	-0.0276421008	0.11511616	-0.20298766	-0.0663926424	0.110839863	-0.2043023391	0.0346562003	0.3179579285	-0.1678347422	-0.252960269	-0.0727625571	0.0073435839	0.1890061681	0.0574170831	0.0376761739	-0.1123373859	0.0948468564	0.1721580452	-0.0232568761	-0.0041526765	0.2070739358	-0.2240480528	0.0389349643	-0.0245758316	0.1274766687	-0.1610577761	0.1847495172	0.1277752742	0.3781896997	-0.1254666819	0.0057481147	0.0238115403	0.1780058642	0.0033441655	-0.162936183	-0.2117356142	-0.0385704211	-0.0611628929	0.0051715895	0.1531573254	0.1524510324	0.0069392025482812	0.0077103294911039	4.81525320060723e-05	5.944918086138652e-05	0.0415119158203936	0.0812775366408971	0.0017232391550794	0.0066060379624123	-0.0498122690649509	-0.0986992389885726	0.002481262149399	0.0097415397769233	-0.0018300009675247	0.0061360849601748	3.7651538638483374e-05	3.348903541141338e-06	-0.0007829999465656	-8.701072587680007e-05	7.570866417607645e-09	6.130889163217325e-07	-1.216169881809205e-06	4.556182962875063e-06	2.075880319119299e-11	1.479069181419816e-12	1.0
1239.4505049014945	-2.9569496180663464	1536237.5541005696	8.74355104378271	1926.0225305513304	-5.523364370319541	3709562.788191351	30.50755396731538	1244.5644808487154	-2.0273533852446235	1548940.7469902325	4.110161748662835	1419.7008893607867	1111.7795012506206	1.36411	29.150778	0.2111044891997257	0.1349485552061517	0.1202738528	0.1164097834	0.0752659683	0.098349094	0.0880225235	-0.1044762561	-0.0438034907	0.0864540397	-0.0262586985	-0.0034318052	0.0394366474	-0.0524071131	-0.1092647827	0.0554186061	-0.0801264392	-0.0016654391	0.0070726888	0.0698520815	-0.0260171341	0.0952368283	-0.1734520714	-0.1006705733	0.0768798781	-0.0597218439	-0.0195492768	-0.011484776	0.0573384828	-0.0492863984	0.0024183998	-0.1158123542	0.0339791628	0.0482700814	0.0987000597	-0.2917039502	0.1022039258	0.0791266301	-0.1165542505	-0.0044925269	-0.0047014623	0.0475445333	0.0186905235	0.0740691695	-0.0635565633	0.1318268404	0.1372754767	-0.0107262411	0.0263102838	-0.0445343286	0.1367999787	-0.083466354	0.125959592	0.0845877437	0.0407599074	-0.1110164354	-0.0528859754	-0.0272657674	0.0073447405	0.1068484024	-0.1507569593	-0.0336371565	0.1313962347	-0.044465951	-0.0306907163	-0.1518815878	-0.0296050276	-0.1150630052	0.0149744317	-0.1285493659	0.0602988365	-0.0068202217	-0.1029187533	0.1062225102	0.0239712745	0.0940080538	0.1316767031	-0.0606120577	-0.1308970512	-0.2591383372	-0.0533085625	0.1527386503	0.1507811905	0.0075512533261559	0.0006120507778746	5.702142679578054e-05	3.746061546970251e-07	0.0414995486528653	-1.236716752829603e-05	0.0017222125383915	1.5294683267293974e-10	0.0400979454416301	0.089910214506581	0.0016078452286399	0.0080838466726194	0.0003609999142242	0.0021910008817489	4.800484863824457e-06	1.3032093806987977e-07	-0.0010019991485348	-0.0002189992019692	4.7960650463146474e-08	1.0040022936644643e-06	1.808813549246315e-07	1.3970512367338366e-06	1.9517521580595427e-12	3.2718064559370514e-14	0.0
1236.1588956470057	-3.291609254488776	1528088.8152872247	10.834691484236156	1923.9376050535984	-2.084925497732001	3701535.908139376	4.346914331093035	1242.646816916309	-1.9176639324064129	1544171.1115922348	3.6774349576524266	1416.1601058808883	1088.909149819992	1.164522	24.885614	0.1221880950359678	0.0796204872080069	0.1413275226	-0.0471085477	0.0236054011	-0.0670299417	0.1728912996	0.069894887	0.0142925131	-0.0917297817	-0.1630072286	0.1109152874	-0.0402170487	-0.1860716071	-0.0772473963	0.0063330951	-0.0801604557	0.0109355187	0.2098636872	0.0463714069	0.0758075311	0.0325402618	-0.1950912604	-0.0099655227	-0.1394911051	0.0946727063	-0.002949603	-0.0387163118	-0.1415423149	0.0507366854	0.0315718198	0.0726583995	0.1131365242	0.044092979	0.1736356787	-0.2347348726	-0.1166511521	-0.0227598717	-0.1137682215	-0.1440755669	-0.1742176833	-0.0556425145	0.0805893943	-0.0074732576	-0.027724128	0.2570065686	-0.021308659	-0.1233845512	0.0597830203	-0.0829745002	-0.0093402573	0.0017565351	-0.07045425	0.1875826146	0.0349595913	0.0703774919	-0.1076280771	-0.0100533117	-0.0158976682	-0.0680478876	-0.1676434737	-0.089483349	-0.0202224861	0.0618167439	0.0796096752	-0.0758984226	-0.0665658577	-0.0382160306	0.0765460773	-0.1666883538	0.072104982	-0.1020010068	-0.1047730471	0.2575412586	0.0898682275	-0.0273273417	-0.1347872195	-0.0753675791	-0.0474417954	-0.04610529	-0.1932805574	0.1521113526	0.148287834	0.0162035246389109	0.008652271312755	0.0002625542107237	7.486179886952313e-05	0.0504707704908895	0.0089712218380242	0.002547298673944	8.048282126704231e-05	0.0287254980141611	-0.011372447427469	0.0008251542361615	0.0001293325604905	0.0018030010221684	0.0014420011079442	2.0793671953123007e-06	3.250812685940295e-06	-0.0005809999891619	0.0004209991593729	1.7724029219268858e-07	3.375609874061279e-07	1.023703192217949e-06	8.428218372933175e-07	7.103486494184834e-13	1.047968225757219e-12	0.0
1239.8407772246403	3.6818815776346128	1537205.152869	13.556251951725145	1924.6851649130545	0.7475598594560324	3704412.984036392	0.558845743469923	1243.2189361858816	0.5721192695725676	1545593.323291155	0.3273204586162483	1416.131260122167	1077.7080732409877	1.197342	25.586973	0.2120211627660226	0.1253897955316029	0.047392354	-0.0905267448	-0.0047392517	-0.1357441295	0.0128491849	0.1518363821	0.0788618568	-0.1608507975	0.018641615	0.0897212103	-0.2715358654	0.0543245373	-0.0141223896	0.0421121189	-0.0324188769	0.016726293	0.0426774288	-0.1214699743	0.2035202307	-0.2125580681	-0.0462649678	-0.133929847	0.0055741884	0.0944814093	-0.0360739169	0.0481167877	-0.0198524156	0.1567465845	-0.0288151432	0.002698695	0.0180719233	0.1739339905	-0.1976002789	0.1023721288	0.088749245	-0.0246209145	-0.011585208	-0.2465950081	-0.0558785204	-0.0950780503	-0.1251028423	-0.1703947624	0.2032898559	0.0374330723	0.100136309	-0.1639449503	-0.0524730406	0.0589846196	-0.1048607099	-0.0206863589	-0.2955927183	0.0916725115	-0.0172154595	0.0345752797	-0.1760677536	-0.0234519755	-0.0044594747	-0.0741232886	-0.0307026419	0.0078367447	0.1175266215	0.117947817	0.1390624602	0.0180827384	-0.0070353024	0.0586353747	0.1169791146	-0.0294296267	-0.050996621	0.0747869637	-0.1928060181	0.1210451953	0.2990163541	-0.1333806733	0.1297873096	-0.0044230497	-0.0406996212	-0.0560511178	0.1354130004	0.151276289	0.1449845808	0.0159988542209816	-0.0002046704179292	0.0002559633363842	4.188997997535406e-08	0.0016270251971235	-0.048843745293766	2.647210992074764e-06	0.0023857114543222	0.0720466879248107	0.0433211899106495	0.005190725240935	0.0018767254952745	-0.0001189998436121	-0.0019220008657805	3.694087328060991e-06	1.4160962779704257e-08	-0.0001110000200401	0.0004699999691218	2.2089997097449293e-07	1.2321004448902605e-08	-6.604779037965437e-09	-1.0303079712559144e-06	1.0615345156334779e-12	4.362310614034765e-17	0.0
1242.7238503055148	2.88307308087451	1544362.5681181636	8.312110389663241	1933.471219392416	8.78605447936161	3738310.956218796	77.1947533143102	1246.533244388204	3.3143082023223087	1553845.1293649818	10.984638859980931	1423.5824438113978	1103.5290736223428	1.131021	24.169697	0.0490011936285715	0.0290277697633576	0.0163301325	-0.1711177082	0.1419002664	-0.1664274306	0.0159201218	-0.0712168435	0.1028173878	0.0371970312	0.0969070076	-0.0671666342	-0.2504796266	0.1351036628	-0.0506453567	0.0134909359	-0.2112702959	0.1260347734	-0.0851567867	-0.0429707918	0.0044319279	-0.1364714183	0.0814591582	0.1222175932	-0.0580526152	0.0506947008	0.0083806977	-0.0943965275	-0.0322025724	0.1254910725	0.144284229	0.0025967048	-0.0887415762	0.0508630307	-0.079007308	0.1631115995	0.2005737936	-0.1307898305	-0.0407679396	-0.1138993746	0.1201889014	0.1097246333	-0.1081204126	0.0315496949	0.2128949962	-0.1636603289	-0.0682188935	0.0355409802	0.0279506045	0.0958315574	-0.0003309233	0.0180265891	-0.1168586507	0.1071343932	-0.1493057317	0.1593887554	-0.1229812314	-0.0094641231	0.0312789874	-0.1387257931	-0.0386193919	-0.0446465195	0.1008145205	0.1493403666	-0.0694974599	-0.0385897401	0.1721064717	0.0402091511	0.1392434695	0.0796271312	0.0461502627	-0.030334701	0.0579762152	-0.0234587447	0.1254677684	0.0288743291	0.1006018802	0.0669062629	0.0612717345	-0.0583794403	0.0468972757	0.1502346003	0.1408894722	0.0160895789345261	9.072471354449815e-05	0.0002588745502903	8.230973647731247e-09	0.0115210582762728	0.0098940330791493	0.0001327347838052	9.789189057130056e-05	0.0604304964540247	-0.0116161914707859	0.0036518449016798	0.0001349359042859	-4.099996588951235e-05	7.799987772258764e-05	6.0839809247386235e-09	1.6809972029411763e-09	-0.00058099973145	-0.0004699997114099	2.208997287253893e-07	3.375606879449721e-07	-1.1902948384814632e-08	-5.298169346849195e-09	2.807059842789243e-17	1.4168018025156127e-16	0.0
1240.690665105824	-2.033185199690706	1539313.3264807323	4.1338420562413365	1942.415326799665	8.944107407249021	3772977.3017862495	79.99705731240681	1244.4805201140928	-2.052724274111142	1548731.7649434428	4.213676945525116	1426.1130055946878	1115.614907596888	1.185448	25.3328	0.0685106407976343	0.0396253580522504	-0.1101655707	-0.1192689945	0.0064168216	-0.1463727222	-0.0448955033	-0.160511842	-0.0087699438	0.1106754321	-0.054430575	-0.2203800702	0.0260743415	-0.0803561719	0.1017394936	0.0022488172	-0.0244907306	0.0796975812	0.019087196	0.242543752	-0.0438660573	-0.0775202254	0.1700640256	-0.1532346649	-0.104354662	0.091166815	-0.0649421991	0.1541388907	6.13024e-05	0.1185712042	-0.0841417695	0.0414365317	-0.0832695034	-0.0663137757	0.0708942583	-0.2006920716	0.0157021052	-0.1718695691	0.0901262609	0.0763097408	0.0318355223	0.1386678962	0.110183903	-0.0400069996	-0.0459214714	0.0093035739	-0.0289036093	0.2307196818	0.0558521009	0.1138575665	0.0381618728	-0.0977362201	-0.160126838	0.0753885597	0.0799080724	-0.1635242128	-0.1397550223	0.0073792391	0.0523020633	-0.0994773026	0.0919980838	-0.0171706563	0.0106686959	0.1118064877	-0.1013821003	-0.0885860341	-0.0930089399	-0.0482361518	0.0985180839	0.0225411876	0.0039173829	0.1523377672	-0.0278879286	-0.015845573	-0.0781196572	-0.0336074864	0.1887208344	-0.081837431	-0.0171529228	-0.1383117366	0.0134888524	0.1489877092	0.136024874	0.0139032605029285	-0.0021863184315975	0.0001933006526122	4.7799882843433866e-06	0.0249004093457756	0.0133793510695028	0.0006200303855871	0.000179007035041	0.0769249530116553	0.0164944565576306	0.0059174483958453	0.0002720670971315	3.800001064424322e-05	7.899997653375557e-05	6.240996292333931e-09	1.444000808962598e-09	6.899999467013807e-05	0.0006499997261201	4.224996439562545e-07	4.760999264479081e-09	-1.31082421256861e-09	1.0592124172246022e-08	1.1219309448027848e-16	1.7182601162561164e-18	0.0
1240.1475199841766	-0.5431451216475125	1537965.8713229038	0.2950066231694911	1930.7889315697453	-11.626395229919808	3727945.898272239	135.17306604230205	1245.1411222359384	0.6606021218456135	1550376.414282972	0.4363951633869268	1421.8200942539934	1097.093717617935	1.166142	24.920235	0.0373855154741447	0.0233640105522778	-0.111369812	0.0594390328	-0.0294467472	-0.0042700596	-0.1013500733	-0.0123278654	-0.0035972887	-0.120452287	-0.0517725832	-0.0126725185	0.0214694063	-0.0142915311	0.1019322935	-0.0129603757	0.1429837176	-0.0170376495	0.1360742105	0.1063421582	-0.058286501	-0.0498578729	-0.0464371025	0.0312398801	0.0237614431	0.094984346	-0.0625115019	0.2799492714	-0.1250824118	-0.2275950448	0.1086657743	0.2053810686	0.0892045549	-0.165818374	-0.0890210099	-0.0138193401	0.0717194109	0.0342561628	0.1613284502	0.106404193	-0.1352492746	-0.0347585983	0.0733332815	-0.0518503564	-0.0234009211	0.0566186977	0.0180899034	0.0217934739	0.1258328853	-0.0212749442	0.0031408731	0.0529405307	-0.1072722663	0.1032020772	-0.19681349	-0.0521065877	0.0721798829	0.0226990551	0.0310168527	0.0218410973	0.1272875124	0.0327725777	-0.0140259645	0.0709469962	0.0220158844	-0.0790327263	-0.2005979739	0.0289623811	0.0590725733	-0.0352025611	-0.0097991811	-0.0054509388	-0.0023460982	-0.1029031727	0.0747081182	-0.0083911776	-0.0123817589	0.0721279343	0.1157636171	-0.0256349383	-0.0239182845	0.1475373187	0.1304173552	0.0160212020144001	0.0021179415114716	0.0002566789139862	4.48567624601461e-06	0.0188604383659054	-0.0060399709798702	0.0003557161353541	3.64812494376742e-05	0.0689976244965961	-0.0079273285150592	0.0047606721861732	6.284253738567072e-05	2.299998815481016e-05	-1.500002248943306e-05	2.2500067468349757e-10	5.289994551214077e-10	-0.0003420002950513	-0.0004110002897214	1.6892123815110604e-07	1.1696420181517625e-07	3.866319790708203e-09	5.177144003276813e-09	2.680282003066507e-17	1.4948428724021924e-17	0.0
1241.7371966152652	1.5896766310886503	1541911.265457938	2.527071791429361	1923.782862087549	-7.006069482196381	3700940.5004617614	49.08500958936346	1245.792679406108	0.6515571701695535	1551999.4000618495	0.4245267459993565	1418.4416253118231	1102.8051411132242	0.989987	21.155842	0.1416264209385651	0.0996610412279295	-0.0815478646	0.0999050878	0.0656086812	0.1252438764	-0.1230677676	-0.0196052428	0.0269298195	-0.1239886373	-0.0913852509	0.0730933965	-0.0449242676	-0.018889541	0.0769315259	0.1330387789	0.0479103104	-0.0965475254	0.028392678	-0.075904749	0.1102585961	0.0661766992	0.0447825887	0.0722509039	-0.0146522315	0.0310948261	-0.0721436522	0.1702670777	0.0152944585	-0.0506801935	0.1573159136	-0.0726306953	0.0799112648	0.0235693269	0.1536497237	0.0419929416	0.1276886872	0.1670186656	0.1088878686	-0.030917026	-0.0627461381	-0.0085604337	-0.0161506953	-0.0127946287	0.109039956	0.0450783909	-0.0790808332	-0.1027365829	-0.0525082749	-0.0030141875	-0.0626990523	0.1142777189	-0.0961632648	-0.0225621154	-0.0389971733	-0.1465917024	0.0149952579	0.0336743103	0.0158820677	0.0984261283	0.0317881606	0.0618765346	-0.0031153411	0.0851125171	0.0621066672	0.0806955486	-0.0032911165	0.1928614268	0.0676098035	-0.0253496864	0.0614592557	-0.1131927244	-0.092276976	-0.0593541646	-0.0435930516	0.0348793898	-0.1421791945	-0.0474204911	0.2421920321	-0.0265846595	0.0411871629	0.1458854101	0.124097542	0.0161649670856718	0.0001437650712716	0.0002613061608808	2.0668395717756245e-08	0.0291904279349495	0.0103299895690441	0.0008520810830254	0.0001067086844965	0.033493359409249	-0.0355042650873471	0.0011218051245171	0.0012605528393926	0.0017350024956248	0.0017120025074699	2.930952585583532e-06	3.010233659824284e-06	-0.0005419993968462	-0.0001999991017949	3.999964071876679e-08	2.9376334618164465e-07	9.702812729461092e-07	9.66414953155401e-07	9.33957861682356e-13	9.414457486299219e-13	0.0
1241.8151151248055	0.0779185095402681	1542104.780152434	0.0060712941289768	1923.8863816503008	0.1035195627518987	3701338.809499487	0.0107162998723443	1246.5292031015028	0.7365236953949079	1553835.0541848678	0.5424671538781711	1421.0688261730836	1103.3356287809793	1.001148	21.394339	0.129638503518294	0.0935280624561492	0.0082893579	0.1569281537	0.0928373144	0.1853652734	0.0080967625	-0.0428598262	0.0690477742	0.0135286988	-0.0642303838	-0.0348188788	-0.0594853772	0.1837812492	-0.037317435	0.1904160845	-0.0276121034	-0.054601138	-0.0299240601	-0.0066386645	0.0047915566	0.0810264124	0.173576174	0.1761560977	0.0446298656	-0.0306752223	0.0028077652	-0.1323746272	0.1108643001	0.0219177103	0.0538561147	0.0115340393	-0.0799576915	-0.0432033891	0.0042324049	-0.2149902351	-0.0149226243	0.1538684079	-0.0539871704	4.14642e-05	0.0483701792	0.1104945236	0.0548841054	-0.0052904834	0.1540891122	-0.1340647275	-0.0439371376	-0.0361509785	-0.0654775846	-0.0613816701	-0.1349428645	0.0322018854	0.013531907	-0.1144202648	0.065566445	-0.0917454922	0.0236085622	0.0153346718	0.0012927639	0.1361777433	-0.037447549	0.0356710645	0.1097906218	0.0568146657	-0.1102239054	-0.0286379588	0.0145759907	0.1315214064	0.0528730782	0.0374396212	0.0186272444	0.0316773942	0.0503322129	-0.139981998	-0.1310475653	0.1853998498	0.0707246103	-0.0732270774	0.1350652435	0.008255672	0.0251422062	0.1440342395	0.1170999511	0.0161539851948901	-1.0981890781698587e-05	0.0002609512376767	1.2060192514115643e-10	0.0179935432656179	-0.0111968846693316	0.0003237675992516	0.0001253702262983	0.0599235434346212	0.0264301840253722	0.0035908310577609	0.000698554627615	6.704686535908243e-05	-0.0016679556302657	2.782075984535107e-06	4.495282154478927e-09	-0.0005419940981636	5.2986825999990295e-09	2.8076037295532464e-17	2.937576024441741e-07	0.0001730184109808	0.0001720481297078	2.960055893597052e-08	2.993537053832101e-08	0.0
