global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
1339.3829805873406	n/a	1793946.7686870284	n/a	1949.790789551205	n/a	3801684.123018712	n/a	1334.517199822192	n/a	1780936.1566212643	n/a	1570.833161616889	1124.781264639848	n/a	n/a	n/a	n/a	-0.0612845243	0.061295529	-0.0850701238	0.1424433195	-0.1463679805	0.0050440108	-0.2049744693	0.1665239492	-0.0659639861	0.0515679403	-0.3129341111	0.0150633276	-0.0963524248	0.0071391182	0.0566609367	-0.0692984737	0.1296339147	-0.0833157167	-0.0310324169	0.0239251403	-0.0934454479	0.1760466426	-0.0431495662	0.0393347186	-0.0387316712	0.0175733259	-0.150987012	0.0114595173	0.1260299451	-0.064164493	0.1790276964	-0.0259266427	-0.0571114357	0.0674707117	-0.0274290591	0.1452360286	0.0930118711	0.0122744292	-0.1207391284	0.1136823795	-0.0029999766	0.0758426005	-0.1309735137	0.1990863688	-0.147142616	0.1520676613	0.0617891097	-0.0292015391	0.0174471407	-0.2401422098	0.1141085818	-0.0229469082	0.0794183182	-0.1251270869	0.1207708375	-0.0482602828	0.058083241	-0.1337783251	-0.1476746483	-0.1789998127	0.0242847274	-0.0713388046	0.0188816118	-0.1001426026	0.1000460553	-0.1345013751	0.1006676753	-0.1890783933	0.0588549161	-0.1897615102	0.1109443615	-0.0602613201	0.0057583259	-0.1912100826	0.1780738308	-0.0665118994	0.2210381846	-0.115384828	0.0531638539	-0.1274937877	0.1678356582	-0.0407790012	-0.0279436466	0.153366806	0.1532882396	0.0001157564136633	n/a	1.3399547304189028e-08	n/a	0.0940414736331689	n/a	n/a	0.008843798763098	0.0613292755233132	n/a	0.0037612800362144	n/a	-9.19999625461217e-05	n/a	8.463993108487796e-09	n/a	-0.0005899996016009	n/a	3.480995298892207e-07	n/a	-2.7135896496982082e-08	n/a	n/a	7.363568786949246e-16	0.0	0.0	0.0
1339.059954501635	-0.3230260857055782	1793081.561749921	0.1043458520462675	1951.3353849516973	1.544595400492199	3807709.7845645887	2.385774951221656	1336.1862186455876	1.6690188233956178	1785393.610898394	2.7856238328488923	1570.2076973201722	1110.979807301073	1.055193	21.303459	0.0687247401476116	0.0476491465118879	-0.1240705402	0.0252073716	-0.0545840953	0.0273620527	-0.0139786281	0.0483578241	-0.1154569154	0.0542919455	-0.0328374401	0.1479949961	-0.188143928	0.0338591391	-0.0906914154	0.1792684544	-0.0306623861	-0.0085298885	0.0849926871	-0.0349420774	0.1185139274	0.0181381862	-0.0223104179	0.0239038167	-0.0992607678	0.1610442055	-0.0768706648	0.140407418	-0.1580432128	-0.0318250938	0.0992937314	0.0282190071	0.0188989762	0.0300749158	0.0570455643	-0.075474604	0.0415869536	-0.0331471629	-0.2433818421	-0.0473098366	-0.0396930583	0.0600039488	0.0453617054	-0.0279599975	-0.1473982066	0.234047703	-0.1132767705	-0.0674738914	0.0022040017	-0.1684304835	0.028632749	-0.0689160498	0.1336067462	0.0064704326	0.0082561108	-0.0405142865	0.0559535852	0.1105537121	0.034992643	-0.1476489575	0.0717278076	-0.1374734722	0.0900662571	-0.0374688845	-0.0635507714	-0.0405459666	0.1233349583	-0.0584808416	0.0554031174	-0.1517326564	0.0321610036	-0.2258856996	0.1322732586	0.0728885662	-0.0429740344	-0.0774730371	0.1744579155	-0.0423891951	-0.0139098887	-0.017105458	0.0179617273	-0.0464199755	-0.017471243	-0.0697006956	-0.0987367978	0.1531573254	0.1524510324	0.0001026250340885	-1.313137957480001e-05	1.0531897621665786e-08	1.7243312953747488e-10	0.0522772881715241	-0.0417641854616448	0.0017442471872746	0.0027329148585685	0.0684711177665846	0.0071418422432713	0.0046882939682054	5.100591062777584e-05	-0.0004239997090872	-0.000331999746541	1.7977575330603026e-07	1.1022383170334027e-07	-0.000653999965664	-6.400036406310002e-05	4.2771595508851326e-07	4.096046600209344e-09	-1.3864655473130785e-07	-1.1151065823432576e-07	1.2434626899852603e-14	1.9222867138861545e-14	0.0	0.0	0.0
1339.286051982996	0.2260974813609664	1793687.1290362002	0.0511200710777725	1950.3204103575813	-1.0149745941159836	3803749.703057364	1.0301734267009055	1337.7952518103257	1.6090331647380935	1789696.1357662526	2.588987725227085	1571.5976830880472	1116.4553293013414	1.026577	20.725727	0.031701984595347	0.0202517095822862	-0.100333854	-0.080204692	-0.0248920876	-0.0121947112	0.0679059748	0.0804586585	-0.0405809157	-0.0064649285	0.0119005585	0.1183640472	-0.0784763932	-0.0796635477	-0.1451231659	0.1643141649	-0.0686183377	0.0531338619	0.0411393844	0.0777719605	0.1410851375	0.1299215376	0.0071715219	-0.1053027867	-0.0814540079	0.0860788129	-0.1205223375	0.0893673278	0.1066484374	0.0789422035	-0.085650302	0.0435795276	0.0874243813	-0.0231120199	-0.0828539492	0.0082694589	-0.0032989133	-0.1892541446	0.0801454021	0.0931070433	0.0152338195	0.0054786556	0.0750880097	-0.0370305039	-0.061361369	0.1205187818	-0.1734347872	-0.0510974235	-0.0668830154	-0.1508264602	-0.1523150301	-0.0038989818	0.2368956111	-0.0053040448	0.0734676899	0.1337485232	-0.0300190964	-0.0416623042	0.0706459747	0.0378760461	0.1370860341	-0.1393699058	0.0993996937	-0.0193072355	-0.0473205532	-0.0542739866	0.1062392585	0.0246480996	0.0240386416	-0.0121137367	-0.0403208957	-0.0615731404	-0.01953844	0.1564047094	-0.077336566	-0.1199212699	0.2271399832	-0.0426643779	-0.1867686785	-0.1408849392	-0.0160052155	0.0778950768	-0.0773159567	-0.0097996979	0.0698244432	0.1527386503	0.1507811905	-0.0001194617434521	-0.0002220867775406	1.4271108148615356e-08	4.9322536758367956e-08	0.0522931356025822	1.5847431058098327e-05	2.5114107114117944e-10	0.00273457203115	0.0571016763258214	-0.0113694414407631	0.0032606014392188	0.0001292641986749	-0.0001850299607059	0.0002389697483813	3.42360863588269e-08	5.7106540641421856e-08	-0.0007359929408399	-8.199297517590002e-05	5.416856089661646e-07	6.722847978195756e-09	-8.106810191723464e-05	-8.092945536250333e-05	6.549576745271419e-09	6.5720371484631426e-09	0.0	0.0	0.0
1337.2447052859654	-2.0413466970305763	1788223.4018153483	4.167096337477643	1941.2628842459785	-9.057526111602783	3768501.585751015	82.03877926236623	1334.5588545889225	-3.236397221403194	1781047.3363616967	10.47426697470632	1568.7071054864118	1111.923194771571	0.891387	17.996351	0.0279614261469572	0.0186240807753916	-0.0920569476	-0.0627733838	0.0275859456	0.0068427619	0.1030609683	0.0377072016	0.0621242636	-0.0277701362	0.0153836379	0.1405049715	0.1386855839	0.015578527	-0.0967998088	0.0659304731	-0.0769832791	-0.0091486678	0.105817404	-0.0793614325	0.0981795773	0.1441609755	-0.2073670541	-0.0933468917	-0.0385943311	0.0742717578	0.0921697034	0.1369574793	0.1090011192	-0.0969464418	-0.0912815061	0.0038483406	-0.0378559195	-0.0024512373	0.0511190349	-0.0498545544	-0.0485578212	0.1482854481	0.0701772277	0.1208277036	0.1039163164	-0.0113890045	0.0636249822	-0.1096470866	-0.0682356651	0.0740953936	-0.0731039654	-0.1124471585	-0.1615139109	0.0065365679	-0.0733367554	0.1308364231	0.1779167419	-0.0453520851	0.1123535011	0.1225254751	-0.1740184296	-0.0698272053	0.0049607735	-0.0192862186	-0.0392033814	-0.1426505619	0.0949022038	-0.0045026411	-0.0465130126	-0.0124301082	0.0801403647	0.0207923788	0.0406496134	0.044650745	-0.0168457015	0.0182144682	-0.0291878324	0.1916803453	-0.0192717643	-0.0876071129	0.1139093784	0.0595036696	-0.1881179902	-0.2217486881	-0.1210593833	0.0645194052	-0.0962857142	0.077850113	0.0982240583	0.1521113526	0.148287834	0.0001849106936333	0.0003043724370854	3.419196461994814e-08	9.264258045730581e-08	0.0522786125669512	-1.4523035630993608e-05	2.1091856393910992e-10	0.0027330533319253	0.0571396501142871	3.7973788465699154e-05	0.0032649396151831	1.442008610437666e-09	-3.3000124516671987e-05	0.0001520298361892	1.0890082181158555e-09	2.3113071091723503e-08	-0.0010550035556307	-0.0003190106147907	1.1130325023934194e-06	1.0176777234920416e-07	-1.7415181758672954e-08	8.105068673547596e-05	6.5692138202922594e-09	3.032885556876152e-16	0.0	0.0	0.0
1336.6954754679891	-0.5492298179763111	1786754.7941365936	0.3016533929542918	1953.2784117062888	12.015527460310295	3815296.553637842	144.37290014947078	1336.7042372601586	2.1453826712361206	1786778.2179092625	4.602666806040232	1570.1430505767582	1108.5250384349697	1.028929	20.773214	0.064299097480511	0.0393781316425789	-0.0534932562	-0.0389966566	0.11651087	-0.0270451809	0.0384347466	0.1160052927	0.0766034799	-0.0210680085	-0.060250343	0.0009736156	0.1217842141	0.1662521757	0.0658200157	-0.1096232858	0.146617814	0.0065204549	0.0351749209	0.1311781638	0.0125649266	0.2377255027	-0.104885523	-0.0190134579	-0.1179957145	0.0061476884	-0.0885351487	0.0699472639	0.0706201882	0.1528961947	-0.044495994	0.076359063	-0.1884577969	-0.0343142427	0.0483813373	0.0333411426	-0.3259570696	0.0340563622	-0.0474608243	-0.113362164	0.0319641174	-0.0265870457	-0.0295023905	-0.1206734981	0.0927178116	0.1016600038	0.0065131066	-0.050594981	-0.2880703524	-0.027889574	0.0296738989	0.0658867506	-0.0620298223	-0.0223677906	0.0710738618	0.1219552828	-0.0232681621	-0.1575602344	-0.0773155808	0.0583028219	-0.0251304713	-0.130777838	-0.0204307425	-0.0027320022	-0.088806954	0.1110566408	0.0969259079	0.0682418559	0.0537171905	0.0824279899	-0.0367159071	0.0146011956	-0.0962649436	0.1048702749	-0.0355779771	0.029362136	0.0781164515	-0.0475582384	-0.0857297603	-0.2064268526	0.1095798436	-0.0100521086	0.0869079299	-0.194780796	0.0575136907	0.151276289	0.1449845808	-0.0037411214532596	-0.0039260321468929	1.3995989728039222e-05	1.5413728418436473e-05	0.0522798627410878	1.2501741365952834e-06	1.5629353718117625e-12	0.0027331840482269	0.0915087526730786	0.0343691025587915	0.0083738518157826	0.0011812352106967	1.5026859695833356e-05	4.802698421250534e-05	2.2580651231826092e-10	2.3065912125482372e-09	-0.0006639986381762	0.0003910049174545	4.408941914998482e-07	1.5288484547360034e-07	8.100493516503734e-05	8.102235034679602e-05	6.564621255718957e-09	6.561799521091903e-09	0.0	0.0	0.0
1341.9527230099084	5.2572475419192415	1800837.110793708	27.638651717015907	1947.4568961461384	-5.821515560150374	3792588.362347152	33.890043417072924	1338.8397153458504	2.1354780856918296	1792491.7833873578	4.560266654470041	1569.9437869665192	1111.6171174270428	1.220884	24.64863	0.0365967636677517	0.0248791270789361	0.1262843128	0.0765951724	0.0501443209	-0.1687226606	0.2475574764	0.0935157024	0.1109764424	-0.165744442	-0.0877606388	-0.0578792466	0.0132033775	0.303547754	0.1101335463	0.1033823196	0.0581951179	0.0174553551	-0.0198536564	0.1548658891	-0.0178693466	0.0247935108	-0.0083461265	-0.0823577363	-0.0484370297	-0.0460247205	0.0780231344	0.1367511776	-0.0395646898	-0.0875344236	-0.111158789	-0.0666634588	-0.2836365086	0.0884738973	-0.0309508334	0.0385704016	0.2234871089	-0.1155749732	-0.0346531144	0.2094271496	0.0590997598	-0.0977210024	-0.1011896295	-0.1680572767	0.1190719119	0.1193609463	0.1947131898	-0.1429098907	-0.0738889853	0.1355942841	0.1144071584	0.1527358237	0.073110728	0.04042051	0.009077425	-0.1195282478	-0.1121878391	0.0696144574	0.043459973	-0.155801131	-0.0448079623	-0.1278188314	-0.1628409608	0.0296030818	-0.0621451391	0.0280901649	0.0669380267	0.0915128706	0.039517809	0.0510453121	-0.0435738147	0.018165695	-0.0886893391	0.0997881869	0.0580491252	0.0337653515	-0.0701343502	0.0929135433	-0.0227251419	0.1328110244	-0.1902470156	-0.1544257104	0.0012136393	-0.0439330099	-0.0862821655	0.1502346003	0.1408894722	0.0001227285834772	0.0038638500367368	1.5062305202320047e-08	1.4929337106390973e-05	0.0522618164450676	-1.80462960201952e-05	3.2566880004851296e-10	0.0027312974581379	0.0684913339630313	-0.0230174187100473	0.0046910628280354	0.0005298015640736	8.69999610663024e-05	7.197310137046904e-05	7.568993225538134e-09	5.1801273208838115e-09	-0.0007050002405553	-4.100160237909998e-05	4.970253391830308e-07	1.681131397653817e-09	3.0666415658508204e-08	-8.097426874937883e-05	6.556832199496629e-09	9.40429049340397e-16	0.0	0.0	0.0
1343.013047466141	1.0603244562325926	1803684.045664291	1.1242879524849432	1949.1376892195808	1.6807930734423735	3799137.7315362473	2.82506535573186	1340.2520594566872	1.4123441108367842	1796275.5828778914	1.9947158874153468	1571.7340818089765	1129.0659577578108	0.971828	19.620392	0.0462055470366524	0.0275855938142368	0.1514033606	0.0188142882	0.0138629704	0.005358415	0.2281506634	0.058043127	-0.0111697042	-0.0223011246	0.0273554188	-0.1613783725	0.026525989	0.1447715466	-0.0928663785	-0.0204611584	0.0915452124	0.0729145902	-0.0130682819	0.1728929291	0.0185901781	-0.150853701	0.185156913	-0.0404418917	-0.069567389	-0.2459938101	0.0335454359	0.0246080826	-0.1137917797	-0.0026420554	0.2310410843	0.0015385329	-0.1423239278	0.0201971369	-0.0327757841	0.1107610854	0.0246313065	-0.0540601987	0.0414945102	-0.2665957449	-0.0415077187	-0.0120936367	-0.0096764681	-0.0260854666	0.1523827195	0.1908319668	0.2796017334	-0.0200865932	0.0272793427	0.0500183189	0.0004612993	0.0342186285	-0.1569994802	0.1391169067	-0.0222453842	0.0031813165	-0.0941609628	0.1970746611	-0.0920984136	0.0402899196	0.032376351	-0.1138365254	-0.1546090538	0.0838999368	-0.0632459194	-0.0147342689	0.0653579272	-0.0168190687	0.0193481279	-0.0048290574	0.0493786046	0.0563709361	-0.0864664149	0.0538835883	0.0409431432	0.0919169629	-0.0651124227	0.0853597095	0.0708868342	0.1287110258	-0.2169335209	-0.2319356998	-0.0564226339	0.1045446741	-0.076439461	0.1489877092	0.136024874	0.0001494137110711	2.66851275939e-05	2.232445705603815e-08	7.12096034702723e-10	0.0522262856432007	-3.5530801866905104e-05	1.2624378813052671e-09	0.0027275849120851	0.0413531241293512	-0.02713820983368	0.0017100808752575	0.0007364824329768	-0.0002249998272585	-0.0003119997883248	5.0624922266354844e-08	9.73438679147215e-08	-0.000636999928324	6.800031223129998e-05	4.057689086847811e-07	4.624042463554285e-09	-7.165849847080517e-08	-1.0232491412931337e-07	1.0470388051571355e-14	5.134940403090387e-15	0.0	0.0	0.0
1341.6069449759416	-1.4061024901993733	1799909.1948076792	1.9771242129448787	1950.93896288342	1.8012736638390834	3806162.836896634	3.244586812040275	1337.5316732154702	-2.7203862412170565	1788990.976854575	7.400501301403065	1573.6663859810417	1133.0884146785104	0.953728	19.254961	0.0543683301670831	0.0399042793072209	0.1080269175	0.047512838	0.0573812124	0.0901736043	0.1893917619	0.043332918	-0.0153157225	0.0601616109	0.0878082657	-0.0259348643	0.0111365378	0.0905051272	-0.2411024394	-0.0546248115	-0.0460720302	0.1137918344	0.0169206594	0.2432656266	0.0677313471	-0.0323571355	0.0356742499	-0.1424624487	-0.0911984338	-0.0413305175	0.1824449119	-0.0145091748	-0.1596770452	-0.1194190976	-0.0360392457	-0.0473487102	0.1860990201	-0.0390507417	-0.1539207229	-0.0540149797	0.0554302202	-0.1935594934	-0.0128316598	-0.0098294438	-0.0331206747	0.0676004861	0.0821414145	-0.0616844356	0.1527303117	0.1355005133	0.0603072886	-0.0119549064	0.2156056448	0.0050763695	0.0357796707	0.0117103468	-0.1238457405	-0.0954889024	-0.0590759114	-0.0173996837	-0.1111270006	0.1255140023	0.0511993058	0.0156153185	-0.0607495319	-0.1052433942	-0.0808908988	0.0966811833	-0.049446906	-0.0506014715	-0.0024867397	0.1061604443	-0.0241552861	-0.0471842216	0.0979452997	-0.0257652802	0.0178077221	0.0049844695	0.0713926408	0.0459010083	-0.1555676981	0.0912712551	0.0045087158	0.1726652562	-0.1557384438	-0.210918059	-0.156366013	0.1077501643	-0.0717468163	0.1475373187	0.1304173552	-5.888380815122218e-05	-0.0002082975192223	3.4673028623899404e-09	4.338785651417368e-08	0.0138292840829166	-0.0383970015602841	0.0014743297288204	0.000191249098246	0.0344908207772576	-0.0068623033520936	0.0011896167178889	4.709120729615512e-05	-0.0002149999485089	9.99987874959998e-06	4.6224977858829656e-08	9.999757500670123e-11	-0.0008049997272889	-0.0001679997989649	6.480245609352034e-07	2.8223932452246832e-08	-8.653549363356524e-08	-1.487699516276007e-08	2.213249850727865e-16	7.48839165840481e-15	0.0	0.0	0.0
1340.805990661008	-0.8009543149335059	1797760.7045924473	0.6415278146106017	1950.1608107884724	-0.7781520949474725	3803127.187935152	0.6055206828711402	1336.129490114608	-1.402183100862203	1785242.0143539223	1.9661174483435429	1571.890787349911	1114.4863999789914	1.04621	21.122107	0.02615455699506	0.0165438958405345	0.0026593684	0.0765703568	-0.0336722221	-0.0094846644	-0.0042640767	0.000450272	-0.0766604165	0.0094896323	0.0611748348	0.0795923655	-0.0687230067	0.0451115861	-0.0861520806	-0.0492044455	0.0956509828	-0.0154888978	0.109845428	0.1148180119	0.0153099674	-0.1065584039	0.1320947913	-0.1518270807	0.0223285165	-0.0015964892	-0.0311759885	-0.0174423044	-0.0704474659	0.0322292115	0.2180589654	0.0085614783	0.0310198432	0.0373730901	0.1710532092	-0.0234807889	0.1061420354	0.1923056859	0.0238420612	0.1333477943	-0.0551504297	0.0461943004	0.0691914976	-0.0568105586	-0.0127323968	0.1122083235	0.0473077695	0.0775968401	0.18016942	0.1130147575	-0.008221845	-0.0794734264	-0.0032693056	0.0104705979	-0.1133409553	0.1742026062	-0.0869971528	0.0461718023	0.0507469801	0.065489113	-0.0370581256	-0.0984786545	-0.0633842734	-0.0419297046	-0.0539649205	-0.0951990814	-0.0186544116	0.1076783362	-0.0671760775	0.0026130631	0.0141226697	0.054344468	0.0206204746	-0.1274401644	0.0912675204	0.1508995289	-0.0568376296	0.0050807368	-0.0904097499	-0.018518348	0.1623748347	-0.0046641681	-0.1344173569	0.0936847674	0.1110105877	0.1458854101	0.124097542	0.0001115811618177	0.0001704649699689	1.2450355672587752e-08	2.9058305986505544e-08	0.0104066768522557	-0.0034226072306608	1.1714240255372271e-05	0.0001082989231072	0.0361495407777781	0.0016587200005205	0.0013067892984442	2.751352040126737e-06	-0.000453000330946	-0.000238000382437	2.0520929983718555e-07	5.6644182040205854e-08	-0.0006249998539689	0.00017999987332	3.906248174611464e-07	3.2399954395216055e-08	-1.415756147270773e-07	-5.5040121093512064e-08	3.0294149299884715e-15	2.0043654685349828e-14	0.0	0.0	0.0
1341.523035869964	0.7170452089558239	1799684.0557697644	0.5141538316865012	1951.269788371192	1.10897758271949	3807453.787010156	1.229831278974363	1336.3247636519138	0.1952735373058658	1785763.873949343	0.0381317543719453	1568.0235670645409	1112.069890887532	1.046638	21.130741	0.0498329316309521	0.0268098208240731	-0.0315923689	0.0435712066	-0.0219749523	-0.0294811583	-0.0229509869	0.0251488413	0.020999777	0.0711753208	-0.0338206764	0.0608721052	-0.1288165814	-0.152567089	-0.100386063	0.0059440355	0.0946991701	-0.0895229494	0.0447839003	0.0006700549	0.0850342511	0.0915500332	-0.0269481449	-0.021260398	0.0887449743	-0.0078286919	-0.0512772791	0.0053532441	0.0444091761	0.1942293761	0.0759611661	-0.0823450579	0.0892698855	-0.0161190358	-0.1266330579	-0.0434212796	0.1112255331	0.1587125082	-0.0594934423	-0.1648316809	0.0534093275	0.0319170957	-0.0418733199	0.0107032137	-0.0968517517	0.1409029272	-0.1269356411	0.0328114506	0.0867054157	0.0160935964	-0.0159017161	-0.1132466546	0.0823709247	0.0282155324	-0.1186091707	-0.112675356	-0.029072321	-0.2025599301	-0.1246135935	0.2262724479	0.0840917882	-0.0646268563	0.0157488866	-0.0489575056	-0.0683318585	-0.0818730683	0.0369734223	0.052560508	-0.0780594921	0.0897934569	-0.0866712982	0.0304451994	-0.0162201772	-0.0629384936	-0.0696867598	0.0825168672	-0.125349162	-0.1378455905	-0.0815000246	0.0124857139	0.1659412233	0.1391958163	-0.024870713	0.1970501765	-0.0225546884	0.1440342395	0.1170999511	-5.316994074178183e-05	-0.0001647511025594	2.8270425984845913e-09	2.71429257945649e-08	0.0296676430661193	0.0192609662138636	0.0003709848194915	0.0008801690450986	0.018795975543945	-0.0173535652338331	0.0003532886966485	0.0003011462263249	-0.0005339997736605	-8.099944271449999e-05	2.851557582694653e-07	6.560909720059565e-09	-0.0008050000225887	-0.0001800001686197	6.480250363678074e-07	3.24000607031564e-08	-2.1494589434593089e-07	-7.337027961885358e-08	5.383197931348761e-15	4.620173749617208e-14	0.0	0.0	0.0
